tile_number Filler_Galaxy tile_centre_RA MW_analogue EO_wind_galaxy
140 6 211.17721714419443 0 0
81 17 211.8044463341752 0 2
95 19 212.0684242565039 2 2
70 19 212.0694955570356 0 2
92 19 212.3320423611119 0 1
94 19 212.3320423611119 0 1
56 19 212.33454477989596 1 1
71 19 212.33454477989596 2 1
84 19 212.33872313885576 1 1
124 19 212.59566046571987 2 1
33 19 212.65850814009136 2 2
107 5 213.12289667493584 0 0
110 19 213.3865147795438 1 3
79 19 213.3947416713375 0 1
106 19 213.6501328841518 4 1
122 19 213.6501328841518 0 3
115 16 213.6501328841518 0 1
50 19 213.65979089419787 0 0
66 19 213.65979089419787 0 1
24 19 213.85587940239773 1 1
88 19 213.91375098875977 0 0
119 19 213.91375098875977 1 2
52 19 213.92484011705827 0 1
59 19 213.92484011705827 2 0
1 19 213.9248654151519 1 0
4 19 213.9419655133898 4 0
9 19 213.96100880460924 2 2
14 19 213.98234646826475 1 0
2 19 213.98560638910104 1 1
0 19 213.99642932627745 1 1
40 19 214.07907721016983 1 1
131 19 214.17736909336776 3 1
104 19 214.17736909336776 2 0
31 19 214.35457015647796 2 0
99 19 214.4409871979757 0 0
61 19 214.71998778563943 2 0
90 19 214.9682234071917 1 2
20 19 215.05735828481488 2 0
43 19 215.25518333179983 2 2
101 19 215.4954596164077 4 0
123 19 215.4954596164077 0 2
35 19 215.69332393537556 0 1
93 19 215.7590777210156 3 2
63 19 215.78018467708097 1 2
80 19 215.78018467708097 1 1
39 19 216.0220274630795 0 5
64 19 216.04523389994137 1 1
46 19 216.04523389994137 5 0
17 19 216.2043085102608 3 2
111 16 216.2863139302316 1 2
130 19 216.2863139302316 2 2
96 19 216.2863139302316 1 2
78 19 216.31028312280176 1 2
7 19 216.49292016829784 3 2
5 19 216.5148797509746 3 1
12 19 216.5753806420227 2 4
109 19 216.8135501394476 0 0
129 19 216.8135501394476 1 4
68 19 216.84038156852253 2 1
22 19 217.07014348437195 1 1
58 19 217.10543079138293 0 3
29 19 217.1210749534373 1 0
136 19 217.3407863486635 2 3
105 19 217.3407863486635 2 4
113 19 217.3407863486635 0 2
72 19 217.3704800142433 0 1
32 19 217.60296500690183 1 2
89 19 217.60440445327148 0 2
60 19 217.6355292371037 3 3
47 19 217.6355292371037 0 2
83 19 217.63780834199088 0 2
135 19 217.86802255787947 2 1
114 19 217.86802255787947 2 2
21 19 218.0157264166249 0 3
36 19 218.0533798109049 1 2
86 19 218.13164066248743 2 3
98 19 218.13164066248743 2 1
118 19 218.13164066248743 2 1
26 19 218.14329105791813 1 1
6 19 218.14530119947696 1 5
28 19 218.16184845172944 1 1
44 19 218.28224934088303 2 2
3 19 218.3916810764363 4 1
134 19 218.3952587670954 3 1
121 17 218.6588768717034 0 1
97 19 218.6588768717034 3 0
55 19 218.69572612854523 0 2
62 19 218.96077535140563 2 0
15 19 219.026289166623 1 3
37 19 219.0705208383528 0 3
10 19 219.0705208383528 1 2
73 17 219.22582457426603 3 2
48 19 219.22582457426603 3 1
103 14 219.44973118552736 3 2
91 19 219.9769673947433 2 1
112 16 219.9769673947433 2 1
133 19 219.9769673947433 5 1
117 19 220.24058549935128 2 2
57 19 220.2860214657076 1 1
27 19 220.4716380255228 1 2
87 19 220.50420360395927 1 1
120 14 220.50420360395927 2 0
49 19 220.551070688568 0 3
102 19 220.76782170856723 1 1
82 19 220.81725946387192 2 0
137 19 221.0314398131752 1 0
38 19 221.03475626056505 3 1
74 19 221.08116913428876 0 0
65 19 221.08116913428876 0 2
54 19 221.08116913428876 1 2
45 19 221.34621835714916 1 2
77 19 221.34621835714916 1 1
69 19 221.34621835714916 0 2
100 19 222.08591223160715 1 0
34 19 222.11153744653515 1 1
51 19 222.1413660257303 1 2
25 19 222.35051734057083 0 2
18 19 222.5172318658053 1 0
41 19 222.55376498707577 0 0
23 19 222.57353290885916 1 1
126 19 222.6131484408231 1 0
127 19 222.6131484408231 1 0
128 19 222.6131484408231 2 0
125 19 222.6131484408231 2 0
30 19 222.63991772081815 0 0
19 19 222.6647694709362 0 0
76 19 222.67146447145103 0 1
53 19 222.67146447145103 0 0
42 19 222.77158510634905 0 2
11 19 222.77446801969236 0 0
8 19 222.8294053346393 1 1
16 19 222.86041487374013 0 2
108 19 222.87676654543108 1 1
13 19 222.90148987627703 1 3
75 19 222.93651369431143 0 0
67 19 222.93651369431143 0 0
85 19 222.936893545126 2 1
116 19 223.14038465003907 0 0
132 19 223.40400275464705 2 1
138 16 223.667620859255 1 0
139 7 223.931238963863 1 0
