ID,RA,DEC,e_raj2000,e_dej2000,smss_j,mean_epoch,rms_epoch,glon,glat,flags,nimaflags,ngood,ngood_min,nch_max,density,u_flags,u_nimaflags,u_ngood,u_nch,u_nclip,v_flags,v_nimaflags,v_ngood,v_nch,v_nclip,g_flags,g_nimaflags,g_ngood,g_nch,g_nclip,r_flags,r_nimaflags,r_ngood,r_nch,r_nclip,i_flags,i_nimaflags,i_ngood,i_nch,i_nclip,z_flags,z_nimaflags,z_ngood,z_nch,z_nclip,class_star,flags_psf,radius_petro,u_mag,e_u_psf,u_rchi2var,u_petro,e_u_petro,v_mag,e_v_psf,v_rchi2var,v_petro,e_v_petro,g_mag,e_g_psf,g_rchi2var,g_petro,e_g_petro,r_mag,e_r_psf,r_rchi2var,r_petro,e_r_petro,i_mag,e_i_psf,i_rchi2var,i_petro,e_i_petro,z_mag,e_z_psf,z_rchi2var,z_petro,e_z_petro,ebmv_sfd,prox,prox_id,dr1_id,dr1_dist,twomass_key,twomass_dist,allwise_cntr,allwise_dist,ucac4_mpos,ucac4_dist,refcat2_id,refcat2_dist,ps1_dr1_id,ps1_dr1_dist,galex_guv_id,galex_guv_dist,gaia_dr2_id1,gaia_dr2_dist1,gaia_dr2_id2,gaia_dr2_dist2,ref_epoch,ra,dec,pmRA,pmDEC,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,RA_pmcorr,DEC_pmcorr
2635806,349.589485,-35.731253,39,39,231821.47-354352.5,57259.3267,9.2861,3.66876,-68.4315,0,0,15,2,1,1.0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,3,1,0,0,0,4,1,0,0.994,0,4.57,16.9927,0.0396,9.714,17.1569,0.0664,16.5947,0.0155,0.351,16.4951,0.1131,14.0337,0.0153,4.141,14.0452,0.0089,13.1315,0.0075,0.996,13.1373,0.0091,12.3064,0.0061,0.224,12.3091,0.0076,11.9969,0.0063,1.418,11.9974,0.0053,0.0192,15.0,,1888291,0.31,658830956,0.74,3488036401351052800,0.19,50767130,0.64,104209447,0.45,,,,,6551947802317204736,0.45,,,2015.5,349.5894300495411,-35.73136875813511,-44.78193904875092,-45.173662762474464,12.962294,13.930283,12.000992,349.5893711529304,-35.73134622532084
2487309,343.849173,-30.357195,38,30,225523.80-302125.9,57229.6298,226.174,18.7574,-64.4299,0,9,25,2,1,1.0,0,0,4,1,1,0,0,4,1,1,0,0,5,1,0,0,0,2,1,0,0,3,4,1,0,0,6,6,1,0,1.0,0,4.23,16.9355,0.0102,8.721,16.9123,0.018,16.5684,0.0136,15.985,16.5563,0.0281,14.0007,0.0059,1.539,14.0041,0.0049,13.1682,0.0099,1.745,13.1636,0.0077,12.4075,0.0053,0.667,12.4161,0.0053,12.1265,0.005,1.303,12.1317,0.0073,0.0204,15.0,,1810569,0.16,61881794,1.91,3443030301351033344,0.45,59533782,1.73,103364437,0.18,71573438492791720,0.58,,,6605950801246933632,0.18,6605950801246512128,10.22,2015.5,343.84918979328586,-30.35724150837804,-70.50309075202424,-95.08644286941359,13.029799,13.929439,12.101842,343.84900437443514,-30.35739124063142
2273723,344.869761,-31.744192,21,33,225928.74-314439.0,57194.6073,143.609,15.4326,-65.2618,0,10,34,4,1,1.0,0,0,5,1,2,0,0,7,1,1,0,1,6,1,0,0,4,5,1,0,0,1,4,1,0,0,4,7,1,0,0.998,0,4.25,16.9909,0.0082,8.177,17.0197,0.0258,16.7014,0.0142,17.771,16.7053,0.0285,14.1389,0.0044,0.132,14.1511,0.0047,13.2314,0.0048,0.48,13.2401,0.0049,12.1299,0.0053,0.146,12.1386,0.0061,11.7176,0.004,0.751,11.7165,0.012,0.0223,15.0,,1696078,0.08,675601510,1.71,3441031901351026688,0.55,57148238,1.69,103511630,0.18,,,6384954348942657536,1.16,6603379490226420992,0.18,6603379490226121728,9.19,2015.5,344.86980115576165,-31.744228307041332,-74.05415971704058,-90.6811764159454,12.8794155,14.031829,11.824395,344.8695812896579,-31.744379139592684
2262006,343.048093,-31.730187,45,34,225211.54-314348.6,57180.9114,110.235,15.6499,-63.7153,0,7,34,4,1,1.0,0,0,7,1,0,0,0,7,1,1,0,1,6,1,0,0,0,4,1,0,0,4,4,1,0,0,2,6,1,0,0.999,0,4.29,17.1052,0.0104,4.005,17.1044,0.0295,16.698,0.0128,25.152,16.7166,0.0187,14.1378,0.0063,2.11,14.143,0.0074,13.2442,0.0065,1.514,13.2451,0.0113,12.2445,0.0064,1.451,12.2536,0.0056,11.8682,0.0043,0.447,11.8664,0.0131,0.0171,15.0,,1690282,0.1,61817779,1.39,3423031901351026688,0.28,57169932,1.23,103365761,0.23,,,6384954340352722944,1.46,6604092145559865088,0.23,,,2015.5,343.0481224368234,-31.730245748086976,51.940590901744905,-78.76243452859802,12.957318,14.0408325,11.937688,343.04821903363677,-31.730349550959364
2483836,343.270376,-30.790608,28,21,225304.89-304726.1,57243.9574,154.535,17.768,-63.9294,0,9,43,6,1,1.0,0,0,6,1,1,0,0,8,1,1,0,0,6,1,0,0,6,7,1,0,0,3,8,1,0,0,0,8,1,0,1.0,0,4.16,16.8933,0.0134,18.279,16.8704,0.0366,16.5032,0.006,3.706,16.5059,0.0136,14.0227,0.0043,0.241,14.0303,0.0046,13.245,0.004,0.856,13.2535,0.0041,12.662,0.0037,0.246,12.6689,0.0037,12.4346,0.0037,0.607,12.4393,0.0114,0.0192,15.0,,1808641,0.02,61840053,1.63,3426030301351000064,0.58,58771586,1.44,103364181,0.12,71053432704571432,0.19,,,6604442133854761856,0.12,6604442133854225408,4.54,2015.5,343.27038374687874,-30.79063968773566,67.7037952448387,55.300860310034814,13.196201,13.971578,12.346521,343.2705386469824,-30.79049387491785
2666937,347.554509,-33.205475,21,26,231013.08-331219.7,57192.2849,122.934,11.2105,-67.3577,0,0,38,6,1,1.0,0,0,6,1,0,0,0,7,1,0,0,0,6,1,0,0,0,6,1,0,0,0,6,1,0,0,0,7,1,0,0.999,0,4.41,16.9672,0.0134,5.531,16.9977,0.0231,16.6225,0.016,11.91,16.6228,0.0168,14.0417,0.0043,0.851,14.0523,0.0073,13.2458,0.0043,0.417,13.2464,0.0081,12.6755,0.0043,0.983,12.6752,0.0103,12.4563,0.0056,1.862,12.4676,0.0085,0.0174,15.0,,1906113,0.02,658660073,0.48,3473033401351032320,0.14,54769923,0.46,103937953,0.24,,,6384954388671105024,1.32,6556231332115457408,0.24,,,2015.5,347.5545813897866,-33.20550570855033,41.94318837267512,0.3982357763342636,13.207307,13.986649,12.360147,347.55461245607967,-33.205474178072606
2143779,340.245229,-33.515236,32,17,224058.85-333054.8,57154.951,105.482,12.0774,-61.2576,0,4,38,5,1,1.0,0,0,6,1,2,0,0,7,1,1,0,0,7,1,0,0,3,5,1,0,0,0,5,1,0,0,1,8,1,0,0.998,0,4.21,17.0726,0.0088,15.402,17.0911,0.0249,16.6987,0.0085,22.897,16.6961,0.0203,14.0719,0.004,0.689,14.0784,0.0049,13.2478,0.0048,0.731,13.2509,0.0049,12.595,0.0054,0.555,12.5726,0.0055,12.3443,0.0047,0.623,12.3207,0.0037,0.0119,15.0,,1634359,0.09,525107519,0.28,3401033401351018496,0.04,54281583,0.42,102901100,0.11,,,,,6597714909399096320,0.11,6597714909398706176,2.65,2015.5,340.2452591479852,-33.51525406910676,-20.75128379988174,0.47208938548468354,13.184476,14.009714,12.296423,340.24517763285746,-33.51523502568468
2473374,341.662385,-29.089259,37,24,224638.97-290521.3,57201.915,123.555,21.4625,-62.4921,0,7,44,5,1,1.0,0,0,9,1,0,0,0,5,1,3,0,0,7,1,1,0,0,6,1,0,0,4,8,1,0,0,3,9,1,0,0.998,0,4.16,16.926,0.0084,2.929,16.926,0.0293,16.6063,0.0049,15.716,16.6128,0.0115,14.066,0.0042,2.029,14.0752,0.0043,13.2482,0.0053,1.52,13.2547,0.0084,12.5987,0.004,1.181,12.6118,0.0071,12.3517,0.0038,1.175,12.3615,0.0062,0.0189,15.0,,1803033,0.16,21101635,1.74,3411028801351020544,0.5,61947444,1.55,103056175,0.19,73093416626213248,0.22,,,6607877661014802432,0.19,,,2015.5,341.66242821317036,-29.089297563334977,-78.57295499542965,-64.16030286250198,13.174679,14.002124,12.28922,341.6621994330301,-29.089391414808773
2498584,344.388424,-30.327907,20,43,225733.22-301940.4,57163.2637,131.085,18.8241,-64.8953,0,6,38,4,1,2.0,0,0,6,1,2,0,0,7,1,1,0,0,7,1,0,0,0,4,1,0,0,6,7,1,0,0,0,7,1,0,0.998,0,4.43,16.8577,0.0089,12.037,16.8495,0.0315,16.5104,0.016,19.545,16.5137,0.026,14.004,0.0043,1.094,14.0049,0.0043,13.2546,0.0053,0.235,13.2488,0.0056,12.7318,0.004,0.249,12.7392,0.004,12.544,0.004,0.624,12.5463,0.0084,0.0193,14.5,2498585,1815615,0.11,61922301,0.59,3443030301351030784,0.11,59584028,0.74,103509859,0.27,71603443883796776,0.24,,,6605781678320772352,0.27,,,2015.5,344.3884252615631,-30.327982167059634,-12.453986456907332,-63.84226583344137,13.234285,13.966611,12.41144,344.3883942221446,-30.328038758563768
2110893,338.20673,-30.975845,20,36,223249.61-305833.0,57170.212,153.912,17.2952,-59.5859,0,4,28,2,1,1.0,0,0,5,1,2,0,0,6,1,1,0,0,4,1,0,0,0,2,1,0,0,4,5,1,0,0,0,6,1,0,0.999,0,4.07,16.9859,0.0147,23.077,16.9941,0.0546,16.605,0.0068,16.062,16.594,0.0245,14.0437,0.0053,0.33,14.0512,0.0058,13.2777,0.0074,0.014,13.3113,0.0078,12.7549,0.0047,0.847,12.7619,0.0107,12.5605,0.0043,0.276,12.5694,0.0125,0.0165,15.0,,1619016,0.12,483265409,0.99,3373030301351000064,0.19,58465353,1.0,102563254,0.18,70823382067229312,0.12,6388085821409330176,0.86,6601987233627575936,0.18,,,2015.5,338.2067538426352,-30.975889327038498,11.857274739015834,-75.71466545173163,13.261016,14.001447,12.435249,338.20675854175073,-30.9760012609895
2501492,345.660023,-30.389667,24,24,230238.40-302322.8,57106.0645,64.0334,18.6479,-65.9919,0,4,40,5,1,2.0,0,0,5,1,1,0,0,5,1,2,0,0,8,1,0,0,4,6,1,0,0,0,8,1,0,0,0,8,1,0,0.999,0,4.37,17.0636,0.0112,12.343,17.0102,0.0596,16.7509,0.0074,18.7,16.7366,0.0353,14.1543,0.0068,2.937,14.1405,0.0047,13.3068,0.0067,2.077,13.306,0.0068,12.6325,0.0052,1.828,12.6159,0.009,12.3728,0.0048,1.523,12.3636,0.0125,0.0202,13.4,2501493,1816770,0.14,50287427,0.2,3460030301351033856,0.16,59477067,0.16,103653270,0.11,71533456600062688,0.11,,,6605078918591881728,0.11,,,2015.5,345.6600261907399,-30.38969732695092,-3.939957778393482,-23.271166400117842,13.328876,14.062144,12.314117,345.6600135735011,-30.389715027360534
