,ID,RA,DEC,Re,z,Mstar,GAL_MAG_G,r_mag,GAL_MAG_I,GAL_MAG_Z,GAL_MU_E_R,GAL_MAG_U,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,Ellipticity_r,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,priority,g_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,N_observations_to_complete,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,423,339.14668151614853,1.6388640908535128,3.1994240283966064,0.0574100017547607,9.87004883609594,18.314138412475582,17.45383644104004,17.3880558013916,16.839862823486328,21.536595737680145,,,,,,,,,,,,,,,,0.9260826110839844,12.797696113586426,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,131639.54826160352,87435.61676320263,0,338.5642056388848,1.2519808308393419,False
1,2549,339.1457594314132,1.7238263236842777,4.040030956268311,0.0575199984014034,10.605572461355148,17.131933212280273,16.15513038635254,15.810623168945312,15.421698570251465,20.519699803111912,,,,,,,,,,,,,,,,1.321310043334961,16.160123825073242,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,131431.15711141433,106637.0813829555,0,338.5642056388848,1.2519808308393419,False
2,5628,338.9064670765334,1.5912227068009708,2.010974884033203,0.05158034,10.516674392408916,17.242101669311523,16.230520248413086,15.946310997009276,15.460835456848145,19.159894181485907,,,,,,,,,,,,,,,,1.295790672302246,8.043899536132812,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,77351.08490857772,76668.66396732813,0,338.5642056388848,1.2519808308393419,False
3,4038,338.97305461697164,1.5309949753868346,1.7481850385665894,0.0556332084876177,10.441029369146245,17.566131591796875,16.575000762939453,16.237579345703125,15.805773735046388,19.141322312651567,,,,,,,,,,,,,,,,1.32855224609375,6.992740154266357,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,92399.86904762521,63057.196667733355,0,338.5642056388848,1.2519808308393419,False
4,2720,339.1173480143299,1.476585726150429,1.5987950563430786,0.0568800009787082,10.3419875884203,17.703022003173828,16.783525466918945,16.42630386352539,16.083919525146484,19.10847448372679,,,,,,,,,,,,,,,,1.2767181396484375,6.3951802253723145,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,125010.17685058742,50760.70634030568,0,338.5642056388848,1.2519808308393419,False
5,1239,339.0069784022788,1.174537819280935,4.901960849761963,0.0584300011396408,9.630013792397332,18.883827209472656,18.018592834472656,18.03563690185547,17.40625,23.11690786407664,,,,,,,,,,,,,,,,0.8481903076171875,19.60784339904785,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,100066.64452703841,-17502.120612199942,0,338.5642056388848,1.2519808308393419,False
6,1549,339.045176032883,1.690235482863981,3.147653102874756,0.0604836093616342,10.92023070751849,16.798246383666992,15.762910842895508,15.290533065795898,14.970078468322754,19.48460286071987,,,,,,,,,,,,,,,,1.5077133178710938,12.590612411499023,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,108699.30904358807,99045.55135756843,0,338.5642056388848,1.2519808308393419,False
7,2210,338.48006852715474,1.966154231482797,3.4082140922546387,0.0603723495315074,10.629901314532887,17.738739013671875,16.583898544311523,16.241680145263672,15.668343544006348,20.659297015285365,,,,,,,,,,,,,,,,1.4970588684082031,13.632856369018556,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-19014.98725099316,161403.18854542088,0,338.5642056388848,1.2519808308393419,False
8,2567,338.47157858864927,1.2001776848936736,16.704084396362305,0.0599000006914138,10.24091315143017,16.829261779785156,15.95980453491211,16.493993759155273,15.28866958618164,24.22380362662171,,,,,,,,,,,,,,,,0.3352680206298828,66.81633758544922,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-20933.713353230927,-11707.510983721028,0,338.5642056388848,1.2519808308393419,False
9,3335,337.9381122102569,1.0045171004152162,1.680325984954834,0.05866189,10.134085241306732,18.40821075439453,17.439130783081055,17.016319274902344,16.73941993713379,19.798366416429232,,,,,,,,,,,,,,,,1.3918914794921875,6.721303939819336,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-141497.11486990144,-55926.80307585239,0,338.5642056388848,1.2519808308393419,False
10,3260,338.8772347109799,1.491489338987568,2.265608072280884,0.0544200018048286,9.609081733738288,19.27891540527344,18.3542594909668,18.18895530700684,17.679080963134766,21.62284828129355,,,,,,,,,,,,,,,,1.0899600982666016,9.062432289123535,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,70744.57029349377,54128.92284149912,0,338.5642056388848,1.2519808308393419,False
11,5052,339.23462890539633,1.5547794612472945,2.9976789951324463,0.0582900010049343,9.980666841312893,18.14875221252441,17.261390686035156,17.215383529663086,16.624141693115234,21.232438809801387,,,,,,,,,,,,,,,,0.933368682861328,11.990715980529783,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,151515.6582316067,68432.49047219729,0,338.5642056388848,1.2519808308393419,False
12,4015,338.51841963568063,1.7683921802819138,2.431411027908325,0.0571499988436698,10.520085921659543,17.05122184753418,16.150943756103516,15.83794403076172,15.5026216506958,19.40608573617218,,,,,,,,,,,,,,,,1.213277816772461,9.7256441116333,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-10347.636724142603,116708.96497402126,0,338.5642056388848,1.2519808308393419,False
13,1771,339.25104276149835,1.4415377397739133,2.57538104057312,0.0553600005805492,10.704951233189854,17.008039474487305,15.957091331481934,15.616703987121582,15.170098304748535,19.36131211786164,,,,,,,,,,,,,,,,1.3913354873657229,10.30152416229248,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,155225.18971066314,42839.86141921314,0,338.5642056388848,1.2519808308393419,False
14,1730,338.9539029371111,1.44765729844687,3.7539780139923096,0.0623964996477663,10.88109467043507,16.638599395751953,15.682844161987305,15.27500057220459,14.923352241516112,19.823519455084952,,,,,,,,,,,,,,,,1.3635988235473633,15.015912055969238,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,88071.5893991395,44222.881679301376,0,338.5642056388848,1.2519808308393419,False
15,2580,338.78264274949,1.4715387288835733,1.5096629858016968,0.0591186999415874,10.467244469931838,17.664241790771484,16.67108154296875,16.290973663330078,15.907440185546877,18.869328473781373,,,,,,,,,,,,,,,,1.3732681274414062,6.038651943206787,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,49366.78699677066,49620.0849579963,0,338.5642056388848,1.2519808308393419,False
16,2449,338.6871942817492,1.470034139081945,3.3052420616149902,0.0571000017225742,10.069943142305588,17.972984313964844,17.09445571899414,16.907812118530273,16.449480056762695,21.128041273939875,,,,,,,,,,,,,,,,1.0651721954345703,13.22096824645996,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,27795.433287357468,49280.047662828285,0,338.5642056388848,1.2519808308393419,False
17,4699,338.82578476207243,1.303554043983593,2.781153917312622,0.0567199997603893,10.186854737301118,17.54692840576172,16.695947647094727,16.506101608276367,16.077890396118164,20.34700876201924,,,,,,,,,,,,,,,,1.0408267974853516,11.124615669250488,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,59116.8818404044,11655.546170600777,0,338.5642056388848,1.2519808308393419,False
18,6285,339.1308220231457,1.347453656289492,1.894585967063904,0.0591700002551078,10.286729573225657,17.573915481567383,16.685134887695312,16.475454330444336,16.036060333251953,19.490647144803106,,,,,,,,,,,,,,,,1.0984611511230469,7.578343868255615,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,128055.30284296264,21576.858551733952,0,338.5642056388848,1.2519808308393419,False
19,4505,338.1049039709232,0.7905633327985426,7.1944580078125,0.05923644,10.138414575637391,17.19754981994629,16.393869400024414,16.508419036865234,15.76443099975586,22.3577086132004,,,,,,,,,,,,,,,,0.6891307830810547,28.77783203125,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-103802.17695932095,-104280.35455722063,1,338.5642056388848,1.2519808308393419,False
20,1211,338.7812413906926,1.426676596987401,3.5927329063415527,0.0576499998569488,9.83500105539514,18.820039749145508,17.86948013305664,17.739856719970703,17.162412643432617,22.184490993962324,,,,,,,,,,,,,,,,1.080183029174805,14.370931625366213,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,49050.079908569045,39481.24314946134,1,338.5642056388848,1.2519808308393419,False
21,4870,338.904930701847,1.5614841058385052,2.3776021003723145,0.0608420909641429,10.816757194905165,17.128454208374023,16.060047149658203,15.653105735778809,15.212905883789062,19.26800453563578,,,,,,,,,,,,,,,,1.4753484725952148,9.510408401489258,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,77003.86422945235,69947.74014981091,1,338.5642056388848,1.2519808308393419,False
22,1512,338.98719686849057,1.6839730017184538,4.1650800704956055,0.0598084662475992,11.117809832014617,16.271108627319336,15.233888626098633,14.804741859436035,14.428285598754885,19.610507446966608,,,,,,,,,,,,,,,,1.4663667678833008,16.660320281982422,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,95596.01789090414,97630.23061867928,1,338.5642056388848,1.2519808308393419,False
23,1685,338.9791069763061,1.4468704094199163,1.6429070234298706,0.0583149,10.104054104990876,18.45352554321289,17.485246658325195,17.10858726501465,16.76434898376465,19.851464820386607,,,,,,,,,,,,,,,,1.3449382781982422,6.571628093719482,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,93767.70225721986,44045.04475920982,1,338.5642056388848,1.2519808308393419,False
24,6243,338.8913355867877,1.8596422308140457,11.37271785736084,0.0556499995291233,10.638596712221172,16.64112663269043,15.635720252990724,15.614611625671388,14.86732006072998,22.56254405964893,,,,,,,,,,,,,,,,1.026515007019043,45.49087142944336,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,73931.3682260563,137331.47639428306,1,338.5642056388848,1.2519808308393419,False
25,6882,339.1013427003174,1.3664436950667926,3.206087112426758,0.0535301830738015,10.223260105641646,17.555923461914062,16.61351203918457,16.512042999267578,15.88132095336914,20.697676124055693,,,,,,,,,,,,,,,,1.0438804626464844,12.824348449707031,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,121392.97588376496,25868.607315403875,1,338.5642056388848,1.2519808308393419,False
26,6166,339.0948650093134,1.598605945055106,3.930469036102295,0.0585447752526942,10.320171723068134,17.72445297241211,16.76066017150879,16.548349380493164,16.041637420654297,21.19133864361781,,,,,,,,,,,,,,,,1.176103591918945,15.72187614440918,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,119929.01771686877,78337.2758127627,1,338.5642056388848,1.2519808308393419,False
27,4959,338.79243429023865,1.5636971965636786,2.086343050003052,0.0576748902843141,10.621563808008302,17.132564544677734,16.144851684570312,15.82767391204834,15.398061752319336,19.105863154555745,,,,,,,,,,,,,,,,1.3048906326293943,8.345372200012207,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,51579.67520596901,70447.89865370009,1,338.5642056388848,1.2519808308393419,False
28,2007,338.8413191626312,1.2054658922621355,4.832804203033447,0.0585250693163347,11.212432316080534,15.740910530090332,14.741506576538086,14.354942321777344,14.003803253173828,19.446205965219505,,,,,,,,,,,,,,,,1.3859682083129885,19.33121681213379,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,62627.656366681775,-10512.376118448634,1,338.5642056388848,1.2519808308393419,False
29,1278,338.71434803754084,1.1740219564734335,1.7183239459991455,0.0577669141494417,10.42539352297428,17.627138137817383,16.649715423583984,16.30525779724121,15.919252395629885,19.16071709305548,,,,,,,,,,,,,,,,1.321880340576172,6.873295783996582,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,33932.18209626593,-17618.70560669528,1,338.5642056388848,1.2519808308393419,False
30,5612,338.46268290026524,1.5803360434756,2.1648550033569336,0.0569828553707408,10.49658255394783,17.229293823242188,16.299835205078125,15.900010108947754,15.61727809906006,19.22399290180337,,,,,,,,,,,,,,,,1.3292837142944336,8.659420013427734,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-22944.13892802163,74208.27805579433,1,338.5642056388848,1.2519808308393419,False
31,4101,338.7936093243473,1.2813722570528774,4.427933216094971,0.0562694634062363,10.86976474477902,16.60931396484375,15.577618598937988,15.25699520111084,14.796989440917969,20.18797796866273,,,,,,,,,,,,,,,,1.3523187637329102,17.711732864379883,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,51845.23291452513,6642.462324259028,1,338.5642056388848,1.2519808308393419,False
32,6183,338.506367197753,1.0945121743265616,4.953381061553955,0.0570207605567073,10.516788182125262,17.46611976623535,16.42959976196289,16.187015533447266,15.648012161254885,21.36259364466008,,,,,,,,,,,,,,,,1.279104232788086,19.81352424621582,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-13071.487695791575,-35587.91637188835,1,338.5642056388848,1.2519808308393419,False
33,4766,338.2504449958115,0.5206848214115053,4.599435806274414,0.05553861,10.798389343035709,16.44465446472168,15.458439826965332,15.113134384155272,14.703506469726562,20.06928449199677,,,,,,,,,,,,,,,,1.3315200805664062,18.397743225097656,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-70909.90533456454,-165272.89813069106,1,338.5642056388848,1.2519808308393419,False
34,2350,338.39899081107944,0.696947361748665,2.49364709854126,0.06347733,10.77976939050405,17.060171127319336,16.065990447998047,15.653223991394045,15.318887710571287,19.310725026483087,,,,,,,,,,,,,,,,1.406947135925293,9.97458839416504,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-37338.55108401076,-125437.56401449296,1,338.5642056388848,1.2519808308393419,False
35,3019,339.2313045661661,1.486048704613543,2.601409912109375,0.0597800016403198,10.17070696087695,17.739315032958984,16.91123390197754,16.702943801879883,16.31629753112793,20.391058375209067,,,,,,,,,,,,,,,,1.0363712310791016,10.4056396484375,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,150764.35756557417,52899.33947296948,1,338.5642056388848,1.2519808308393419,False
36,3340,339.2707511436278,1.2431893882289806,2.0977120399475098,0.0579025507236003,10.451596296574866,17.529714584350586,16.568525314331055,16.2071590423584,15.858624458312988,19.47536425948062,,,,,,,,,,,,,,,,1.3225555419921875,8.390848159790039,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,159679.28407192233,-1986.8660299416413,1,338.5642056388848,1.2519808308393419,False
37,1826,338.45467825834123,1.9532769371175085,4.333035945892334,0.0601699985563755,10.83097883188772,16.493518829345703,15.549981117248535,15.187702178955078,14.837989807128906,20.024652608314145,,,,,,,,,,,,,,,,1.305816650390625,17.332143783569336,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-24753.1880028464,158492.92001886564,1,338.5642056388848,1.2519808308393419,False
38,378,340.4579298341264,-0.3587922662800235,6.235997200012207,0.05261319,10.31292624373218,17.20345687866211,16.291309356689453,16.234453201293945,15.622125625610352,21.84721266522306,,,,,,,,,,,,,,,,0.969003677368164,24.943988800048828,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,124124.57527058428,69034.65210486243,2,339.9087060497433,-0.6642553286909192,False
39,4379,340.2128293488679,-0.4746747343814919,1.6030280590057373,0.05566155,10.607373010399373,17.120302200317383,16.14804458618164,15.687970161437988,15.416099548339844,18.376915248432148,,,,,,,,,,,,,,,,1.4323320388793943,6.412112236022949,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,68731.8656021655,42845.21431393057,2,339.9087060497433,-0.6642553286909192,False
40,2685,339.8755181498857,-1.0366032903837998,14.44698429107666,0.05186522,9.828006886765891,17.65618896484375,16.845792770385742,17.12325668334961,16.176565170288086,24.521588565382466,,,,,,,,,,,,,,,,0.5329322814941406,57.78793716430664,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-7500.465367813149,-84150.63934259102,2,339.9087060497433,-0.6642553286909192,False
41,6682,339.35746019270306,-0.9104298015850566,2.391439914703369,0.05258193,10.638388368691892,16.78464698791504,15.838171005249023,15.46144199371338,15.14467430114746,18.99519132936147,,,,,,,,,,,,,,,,1.3232049942016602,9.565759658813477,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-124581.5636910885,-55635.43087407506,2,339.9087060497433,-0.6642553286909192,False
42,1770,340.58124005433694,-0.8067304179702746,4.151961803436279,0.05347245,10.421262983671555,16.380390167236328,15.62544059753418,15.583600044250488,15.10578441619873,20.24312465985047,,,,,,,,,,,,,,,,0.7967901229858398,16.607847213745117,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,151992.68503816985,-32199.37017713431,2,339.9087060497433,-0.6642553286909192,False
43,1059,340.0006378477677,-0.8291934026257204,13.96653175354004,0.05349533,10.620578993079285,15.82069969177246,14.95195198059082,15.24362087249756,14.303261756896973,22.562888660787827,,,,,,,,,,,,,,,,0.5770788192749023,55.86612701416016,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,20776.586353515428,-37276.00470926507,2,339.9087060497433,-0.6642553286909192,False
44,241,339.76564544055725,-1.3620601922171225,2.370351076126098,0.05753345,10.571321418569893,17.121849060058594,16.180212020874023,15.787684440612791,15.489665985107422,19.304399908552497,,,,,,,,,,,,,,,,1.3341646194458008,9.481404304504396,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-32331.69767604113,-157703.89915692195,2,339.9087060497433,-0.6642553286909192,False
45,7411,339.0564685451301,-0.3873231498971454,2.5211269855499268,0.05815531,10.324804875412358,17.34130859375,16.442535400390625,16.15614128112793,15.766853332519531,19.76423405952772,,,,,,,,,,,,,,,,1.1851673126220703,10.084507942199709,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-192605.67604257993,62586.67240739288,2,339.9087060497433,-0.6642553286909192,False
46,5653,339.6694079759164,0.1009646358083711,4.92022705078125,0.05904167,11.314041272057873,15.652854919433594,14.655149459838867,14.166082382202148,13.903804779052734,19.2999340400002,,,,,,,,,,,,,,,,1.486772537231445,19.680908203125,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,-54081.36468487658,172939.7119768396,2,339.9087060497433,-0.6642553286909192,False
47,6198,339.91675209049515,-1.407116252102153,3.847515106201172,0.0579100625673511,11.144829637144884,16.018999099731445,15.049724578857422,14.430177688598633,14.333456993103027,19.006143407754227,,,,,,,,,,,,,,,,1.5888214111328125,15.390060424804688,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,1818.4052099245491,-167886.56869093885,2,339.9087060497433,-0.6642553286909192,False
48,4590,340.2795427145724,-0.7324451229640162,3.3625059127807617,0.05378326,10.141099812351095,17.534847259521484,16.69994354248047,16.521831512451172,16.104084014892578,20.753930825190555,,,,,,,,,,,,,,,,1.0130157470703125,13.450023651123049,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,83809.08625138602,-15410.893505719927,2,339.9087060497433,-0.6642553286909192,False
49,3756,339.97903757245024,-0.9886061269376698,6.42508602142334,0.0531773521039524,11.099762188866002,16.10262107849121,15.143377304077148,14.328609466552734,14.400864601135254,20.0108498892743,,,,,,,,,,,,,,,,1.7740116119384766,25.70034408569336,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,15894.924131774133,-73303.28040376565,2,339.9087060497433,-0.6642553286909192,False
50,6962,340.425213762456,-0.1369296667584812,1.5288900136947632,0.05786118,10.031055883596665,18.35990524291992,17.442556381225586,17.150001525878906,16.805580139160156,19.705063900248355,,,,,,,,,,,,,,,,1.2099037170410156,6.115560054779053,,,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,1,9.0,116730.74307307547,119175.59959673099,2,339.9087060497433,-0.6642553286909192,False
