,Unnamed: 0.1,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,0,170,901005641502503,302.3304512188983,-56.30249313035998,2.706205129623413,0.0543186645954847,9.918145830322398,-999999.0,17.094125747680664,16.506317138671875,16.227848569355757,16.092470169067383,19.91099538498032,-99999.0,False,1.055993125522301,A3667,1.0,,,,,,,,,,,,,,0.866277178324907,10.824820518493652,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-56573.3900086899,72035.50308103832,0,302.58077595345003,-56.62123429443537,False
1,1,339,901005402300950,302.92865412628385,-57.05795409664084,6.719020366668701,0.0547876879363467,10.388820865672525,-999999.0,17.043729782104492,16.192052841186523,15.830186622676694,15.45705509185791,21.571457310539326,-99999.0,True,0.3922626646121956,A3667,1.0,,,,,,,,,,,,,,1.2135431594277986,26.876081466674805,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,78620.46706044248,-98698.67529843704,0,302.58077595345003,-56.62123429443537,False
2,2,353,901005481607297,303.16931148367536,-56.83031256655498,2.2085399627685547,0.0572382135855108,10.727096451355532,-999999.0,16.700937271118164,15.741190910339355,15.342424172053548,15.060548782348633,18.7045919024462,-99999.0,True,0.0474570279653653,A3667,1.0,,,,,,,,,,,,,,1.3585130990646164,8.834159851074219,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,133009.0298309243,-47251.68949903233,0,302.58077595345003,-56.62123429443537,False
3,3,110,901005561310684,303.08882155961226,-56.530366777931256,3.3903563022613525,0.0506670363247394,9.900815131912491,-999999.0,17.669578552246094,16.948795318603516,16.619070039680278,16.47103500366211,20.842896709605988,-99999.0,False,0.461421135441088,A3667,1.0,,,,,,,,,,,,,,1.0505085125658162,13.56142520904541,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,114818.30699266332,20536.058729929253,0,302.58077595345003,-56.62123429443537,False
4,4,310,901005323505796,302.68539260971124,-57.2782684636306,4.234582424163818,0.0545296035706996,9.818358777859965,-999999.0,19.04955673217773,18.04288482666016,17.56947416658694,17.238691329956055,22.419812461513395,-99999.0,True,0.7899966976035374,A3667,1.0,,,,,,,,,,,,,,1.480082565590795,16.938329696655273,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,23643.364315034432,-148489.72223812313,0,302.58077595345003,-56.62123429443537,False
5,5,10,901005323701693,303.43661480476635,-57.3499210713675,5.001499652862549,0.0566346189086444,10.18897350270708,-999999.0,17.128353118896484,16.39229965209961,16.049586454027985,15.844549179077148,21.130675548826503,-99999.0,False,0.8578756985020914,A3667,1.0,,,,,,,,,,,,,,1.0787666648684997,20.005998611450195,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,193419.5803974885,-164683.21158666117,0,302.58077595345003,-56.62123429443537,False
6,6,281,901005481700728,303.34651912343685,-56.83273483799394,2.364952325820923,0.0528646244960023,10.339333256307516,-999999.0,17.300119400024414,16.365787506103516,16.07792622870076,15.704872131347656,19.47777413975855,-99999.0,True,0.1981108486096434,A3667,1.0,,,,,,,,,,,,,,1.222193171323653,9.459809303283691,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,173057.95641702128,-47799.12284423716,0,302.58077595345003,-56.62123429443537,False
7,7,211,901005561300504,302.7154285784265,-56.49283084672441,2.2497501373291016,0.0594263672828674,10.26327622575607,-999999.0,17.703716278076172,16.7868595123291,16.43694157476211,16.172985076904297,19.790405629054817,-99999.0,True,0.6209804838297739,A3667,1.0,,,,,,,,,,,,,,1.2667747033140628,8.999000549316406,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,30431.493244681747,29019.17918267664,0,302.58077595345003,-56.62123429443537,False
8,8,365,901005323609260,303.2641442942549,-57.189092796017206,2.408774137496948,0.055038537661182,10.517292250895984,-999999.0,17.093887329101562,16.168975830078125,15.69764992287233,15.510080337524414,19.320830909818,-99999.0,True,0.5775125042034552,A3667,1.0,,,,,,,,,,,,,,1.3962374062292326,9.635096549987791,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,154441.24502189868,-128336.0213574955,0,302.58077595345003,-56.62123429443537,False
9,9,49,901005641602210,302.7612782139634,-56.323043539239336,6.168488025665283,0.0588237912967377,9.764878110377026,-999999.0,17.148134231567383,16.659032821655273,16.567483748604417,16.329940795898438,21.852801133460048,-99999.0,False,0.8394982963253105,A3667,1.0,,,,,,,,,,,,,,0.580650482962966,24.673952102661133,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,40793.51087602356,67391.1106743032,0,302.58077595345003,-56.62123429443537,False
