,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,0,211990066600666,211.527922607574,-1.02781644327798,2.51659163489873,0.0704900026321411,10.82156848657173,18.66549700011029,16.68527092725453,15.833111226050049,15.457999878614078,15.252549714594752,19.08004965120345,0.025252807632677,,,,,,,,,,,,,,,,,,1.22727104864045,10.06636653959492,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,90,0,8.0
1,1,211990011800801,211.573589480003,-1.01656006808387,3.14636467809182,0.0546999983489513,9.63269991423734,19.18569624208758,17.88621707595862,17.363473735198696,17.109808512258965,17.037996775470045,21.09539370656529,0.1298307857627489,,,,,,,,,,,,,,,,,,0.776408563699654,12.58545871236728,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,5.0
2,2,211980033111258,211.55587460827,-1.14515898575332,2.94788205371367,0.0539299994707107,9.619596439022544,20.42158295528993,18.737712113362665,18.004506657822226,17.65348456723342,17.529892485294305,21.59493185549596,0.621920174426547,,,,,,,,,,,,,,,,,,1.0842275461292452,11.79152821485468,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,1.0
3,3,211980057710336,211.535391561507,-1.22199051130958,3.06161815414176,0.0419000014662742,8.619275882573067,20.257206035172167,19.118031494922583,18.814867472791967,18.60911043941756,18.65134996401932,22.487497276589743,0.0661228000658159,,,,,,,,,,,,,,,,,,0.5089210555050236,12.24647261656704,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,91,0,8.0
4,4,212970660213375,211.633226516759,-1.96880655556125,4.22536466794597,0.0348999984562397,10.38470106117236,17.328874867492054,15.722342172571418,15.030353138509842,14.70431637248208,14.560275030583073,19.402548802581784,0.313734494036663,,,,,,,,,,,,,,,,,,1.0180258000893383,16.90145867178388,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,91,0,4.0
5,5,212970353813349,211.888697724999,-1.97094836705669,2.57982513863102,0.0562000013887882,10.15183517701791,19.15505291608541,17.54381039272409,16.80898080684298,16.441358651547,16.265761087071564,20.109806840291263,0.440962890642831,,,,,,,,,,,,,,,,,,1.1024517411770915,10.31930055452408,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,65,0,1.0
6,6,212990250611110,212.374531057893,-0.157542378751597,1.87220288024948,0.0934000015258789,10.841522843934444,18.58937539237596,16.96518667001112,16.199104679707155,15.828523438280826,15.62991369090047,18.803743906633155,0.0258968080314859,,,,,,,,,,,,,,,,,,1.1366632317302958,7.48881152099792,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,54,0,1.0
7,7,212990553502903,212.122135817424,-0.841452379431552,2.12249059347747,0.0555999986827373,10.476818066263204,18.544696394315054,16.800516470727235,16.01419555318524,15.664808413062875,15.925589072569592,18.891299105920123,0.152670322260935,,,,,,,,,,,,,,,,,,1.1357080576643597,8.48996237390988,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
8,8,212990082608730,212.514536131833,-0.355860954368071,4.4070084193531,0.0829999968409538,11.275507615431229,18.137979092477146,16.151128836068267,15.216206497100092,14.827793024296252,14.565998563112604,19.6798005798705,0.0147202269032029,,,,,,,,,,,,,,,,,,1.323335811772015,17.6280336774124,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,5.0
9,9,212990594605905,212.08787949918,-0.591290893954104,2.32460519399234,0.0520000010728836,10.318568930997476,18.85595828389124,17.113737942372428,16.304814045291955,15.956980039207911,15.7389584200748,19.3794347462107,0.395122999709995,,,,,,,,,,,,,,,,,,1.1567579031645143,9.29842077596936,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
10,10,212990597304895,212.085630485141,-0.675457030571222,1.94977656087223,0.0524000003933906,9.853076505393949,19.51651383195105,17.886942216115916,17.187553090277262,16.87765502724419,16.682575462351924,19.88035199820932,0.16093290956839,,,,,,,,,,,,,,,,,,1.009287188871724,7.79910624348892,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,35,0,1.0
