,Unnamed: 0.1,Unnamed: 0,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,0,766,215010249113391,214.376006604034,2.03248260144407,3.77709202586608,0.051153041422367,10.528042942920024,18.45457324642119,16.557235256126717,15.76547338575704,15.399867450724756,15.19345231456472,19.894135898485903,0.5837823608915911,,,,,,,,,,,,,,,,,,1.157367805401961,15.10836810346432,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,85784.46477298423,-46806.68453046188,0,213.99642932627745,2.2395918250301845,False
1,1,669,215020342903658,213.897842640502,2.22143054286758,4.67483336169281,0.0519088692963123,10.485809449863472,18.09788865659296,16.59237156660734,15.84126651338878,15.471726939927796,15.288159957061405,20.43297186861373,0.541341386150447,,,,,,,,,,,,,,,,,,1.1206446266795442,18.69933344677124,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-22280.59098524403,-4104.449768748614,0,213.99642932627745,2.2395918250301845,False
2,2,782,215010274612461,214.354732442254,1.95499465925756,2.30694166757365,0.0545793510973453,9.926423946212813,19.818390075688363,18.03166725275269,17.267451437754623,16.934412843925905,16.778040778974386,20.32550918578601,0.353023197186878,,,,,,,,,,,,,,,,,,1.0972544088267888,9.2277666702946,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,80976.50421070762,-64318.959464613145,0,213.99642932627745,2.2395918250301845,False
3,3,786,215011164009796,213.613207161683,1.73291758547337,3.48337909740771,0.052871249616146,9.812240120530229,19.02514725484385,17.654084445567044,17.059879475188886,16.77310905235806,16.621452895390348,21.01275786420397,0.3912917703259699,,,,,,,,,,,,,,,,,,0.8809753932089848,13.93351638963084,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-86608.20919834089,-114508.37813984006,0,213.99642932627745,2.2395918250301845,False
4,4,658,215020748210106,213.559828858087,2.75878922978495,2.8271144761171,0.0352017693221569,9.836408884639988,17.850670790451094,16.6204899406427,16.05021300986046,15.780090597123191,15.623255704510887,19.54980466354355,0.5185075645217629,,,,,,,,,,,,,,,,,,0.8403993435195076,11.3084579044684,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-98671.70581103496,117338.61347457697,0,213.99642932627745,2.2395918250301845,False
5,5,848,216020921402103,214.415423978226,2.09187105748254,1.67215989396487,0.0541500002145767,9.776610049971488,20.42162358795741,18.596177283434628,17.77794316373936,17.423996637319107,17.250293723789163,20.13720685975316,0.1489200559294,,,,,,,,,,,,,,,,,,1.172180646115521,6.68863957585948,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,94692.79134037589,-33384.89346576769,0,213.99642932627745,2.2395918250301845,False
6,6,690,215021153507530,213.221757780512,2.54406962687272,3.29752570801422,0.0258117895573377,8.9985881459662,18.949879526495465,17.708732775757078,17.230439774878107,16.99268653405108,16.90425829826253,21.06425540690212,0.0605703914384899,,,,,,,,,,,,,,,,,,0.7160462417059961,13.19010283205688,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-175075.76934298372,68811.98321641299,0,213.99642932627745,2.2395918250301845,False
7,7,752,214010110312363,213.491715157511,1.94679429976298,3.03129624895566,0.0516837686300277,9.815702998958288,20.14745393941235,18.38812346247708,17.572246457635245,17.220474197500423,16.94864940752553,21.223263049845382,0.653894398914344,,,,,,,,,,,,,,,,,,1.167649264976653,12.12518499582264,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-114065.40214120918,-66172.24071038824,0,213.99642932627745,2.2395918250301845,False
8,8,672,215020102001046,214.09864864842,2.00372824693971,5.11025090920136,0.0549486503005027,10.31790440486454,18.690056338484936,17.109530411704963,16.36141396915579,15.996886012069083,15.760264604031526,21.14649977172754,0.694510278390719,,,,,,,,,,,,,,,,,,1.1126443996358797,20.44100363680544,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,23101.566804224887,-53305.1686484472,0,213.99642932627745,2.2395918250301845,False
9,9,771,215010116609651,214.486412418929,1.72081193047614,5.07655624760392,0.0828916728496551,10.7149488794957,17.19619556169466,16.03802369687567,15.534912129239755,15.26522339753078,15.172738127422472,20.305632823349995,0.3505387261070369,,,,,,,,,,,,,,,,,,0.7728002993448904,20.30622499041568,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,110736.17893925814,-117244.25616921406,0,213.99642932627745,2.2395918250301845,False
