"probe","X","ID","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","x","y","rads","angs","azAngs","angs_azAng"
"1",0,"81533082754839533",308.27547126,-22.05072866,0,14.4473,0,0,0,0,0,0,-99,1,0,19,0,0,1,-109503.495239994,38933.3228399996,1,-105143.26,-39806.65,NA,"P",-105.14326,-39.80665,112.426307008858,5.24747187289422,0.361918199874248,4.88555367301997
"2",1,"81853082730198136",308.27302018,-21.7851718,0,14.5889,0,0,0,0,0,0,-99,1,0,19,0,0,1,-110057.439319997,98949.1731999997,1,-106523.11,-102353.41,NA,"P",-106.52311,-102.35341,147.727429757307,1.94683339130453,0.765438302640315,1.18139508866422
"3",2,"81653085732680166",308.57327922,-21.95849768,0,14.9491,0,0,0,0,0,0,-99,1,0,19,0,0,1,-42198.896279994,59777.5243199996,1,-40552.38,-61512.17,NA,"P",-40.55238,-61.51217,73.6766081044269,3.39234607555322,0.987940468435171,2.40440560711805
"4",3,"82053084701890812",308.47023809,-21.62460234,0,15.9509,0,0,0,0,0,0,-99,1,0,19,0,0,1,-65486.1916599958,135237.87116,1,-63756.87,-140451.7,NA,"P",-63.75687,-140.4517,154.245319232341,2.21126552411895,1.14466939887009,1.06659612524886
"5",4,"81583079405844179",307.94060252,-22.01349022,0,14.3225,0,0,0,0,0,0,-99,1,0,19,0,0,1,-185183.830479992,47349.2102799995,1,-179882.53,-48549.58,NA,"P",-179.88253,-48.54958,186.319044430185,4.81012212393222,0.263614922647601,4.54650720128462
"6",5,"80803080230349021",308.02303263,-22.65948495,0,15.8877,0,0,0,0,0,0,-99,1,0,19,0,0,1,-166554.62562,-98645.5987000001,1,-160858.71,104313.59,NA,"P",-160.85871,104.31359,191.720759547714,3.1659481457029,-0.575305647048467,3.74125379275137
"7",6,"80443082903068678",308.29034663,-22.95976477,0,15.6361,0,0,0,0,0,0,-99,1,0,19,0,0,1,-106141.661620001,-166508.83802,1,-102210.48,175488.56,NA,"P",-102.21048,175.48856,203.084260622787,0.589095440531477,-1.04339324812446,1.63248868865594
"8",7,"80573093266274702",309.32661144,-22.85475229,0,15.7453,0,0,0,0,0,0,-99,1,0,19,0,0,1,128054.185440007,-142776.01754,1,124314.84,149735,NA,"P",124.31484,149.735,194.614361415661,2.66645508795553,4.01948358960891,4.9301568055262
"9",8,"81983093525318263",309.3525174,-21.67674549,0,15.7232,0,0,0,0,0,0,-99,1,0,19,0,0,1,133908.932400004,123453.51926,1,129820.38,-129306.11,NA,"P",129.82038,-129.30611,183.23045911277,4.44683665389498,2.3581791167923,2.08865753710268
"10",9,"82263087551407886",308.75512022,-21.44372268,0,15.0765,0,0,0,0,0,0,-99,1,0,19,0,0,1,-1102.83028000231,176116.67432,1,-1623.13,-184255.75,NA,"P",-1.62313,-184.25575,184.262899030324,5.29084811953467,1.56198744014293,3.72886067939173
"11",10,"81823090431702717",309.04315264,-21.81471714,0,15.2343,0,0,0,0,0,0,-99,1,0,19,0,0,1,63992.4966400058,92271.92636,1,61201.35,-95620.64,NA,"P",61.20135,-95.62064,113.529344382112,4.2119589619465,2.14014023542085,2.07181872652564
"12",11,"80633085068628572",308.50687895,-22.80147417,0,15.4638,0,0,0,0,0,0,-99,1,0,19,0,0,1,-57205.357300001,-130735.16242,1,-54462.2,136229.54,NA,"P",-54.4622,136.22954,146.712708370651,0.124346867301604,-1.19047737561273,1.31482424291433
"13",12,"81023085864155207",308.5864434,-22.4792865,0,15.4216,0,0,0,0,0,0,-99,1,0,19,0,0,1,-39223.7915999963,-57920.7490000004,1,-37206.8,59877.32,NA,"P",-37.2068,59.87732,70.4956694884331,5.95982107689372,-1.01480161172977,0.691437381443907
"14",13,"80933089654537847",308.96546053,-22.55209863,0,15.3037,0,0,0,0,0,0,-99,1,0,19,0,0,1,46434.079779996,-74376.2903800002,1,44543.23,76754.91,NA,"P",44.54323,76.75491,88.7435380630105,3.47693946779685,4.18655777282012,5.57356700215631
