,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,C901005090608580,303.0417591390759,-57.98875100358412,13.833600044250488,0.0317324325442314,8.896313519555969,-999999.0,17.457252502441406,16.959577560424805,17.445507026436708,16.669992446899414,23.907128318373964,-99999.0,False,1.807725958707494,A3667,False,0.0,,,,,,,,,,,,,,0.0117454760046982,55.33440017700195,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,53,0,8.0
1,C901005885908840,304.60167357020987,-55.549266039219695,1.507956624031067,0.0237468797713518,8.563602724019482,-999999.0,18.528696060180664,18.100605010986328,17.660117739753638,17.85528564453125,20.23542393946575,-99999.0,False,2.366955705786472,A3667,False,0.0,,,,,,,,,,,,,,0.8685783204270265,6.031826496124268,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,50,0,1.0
2,C901005481403746,302.1208311826886,-56.7201154143078,5.893387317657471,0.0487335845828056,10.14451173017577,-999999.0,16.723474502563477,16.02930450439453,15.781859748172224,15.527417182922363,21.124004107025453,-99999.0,False,0.8622023068275583,A3667,True,0.0,,,,,,,,,,,,,,0.941614754391253,23.573549270629883,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,41,0,9.0
4,C901005168104953,304.7370990569058,-57.71392265438882,3.204750061035156,0.054176177829504,9.605404800467957,-999999.0,18.167743682861328,17.49446678161621,17.240208553649385,17.044340133666992,21.26631228575219,-99999.0,False,1.940228943446908,A3667,True,0.0,,,,,,,,,,,,,,0.9275351292119433,12.819000244140623,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,42,0,9.0
5,C901005641709832,303.5418932963904,-56.1814025046824,5.69438362121582,0.0338351875543594,9.019139329051429,-999999.0,17.83355712890625,17.31523895263672,17.29772394914248,17.023090362548828,22.3353472418629,-99999.0,False,1.0686164970513323,A3667,False,0.0,,,,,,,,,,,,,,0.5358331797637703,22.77753448486328,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,True,48,0,1.0
6,C901005245100587,301.2570744680147,-57.4975855041748,1.755748271942139,0.0338424406945705,8.86473137589121,-999999.0,18.254085540771484,17.87218475341797,17.570705764064368,17.66018295288086,20.337370683370484,-99999.0,False,1.8811175587209663,A3667,False,0.0,,,,,,,,,,,,,,0.6833797767071168,7.022993087768555,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,51,0,8.0
9,C901005245600836,303.5744812284737,-57.497570037443914,6.376820087432861,0.0552020016565127,10.53536337767724,-999999.0,15.74745750427246,15.119897842407228,15.084243114876683,14.648405075073242,20.385793345053937,-99999.0,False,1.1129257514834394,A3667,True,0.0,,,,,,,,,,,,,,0.6632143893957778,25.507280349731445,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,47,0,1.0
10,C901005641509485,302.6146253190518,-56.29670972951164,14.26516819000244,0.0520955938875077,10.56198827718145,-999999.0,16.016681671142578,15.190948486328123,15.068212688270227,14.526418685913086,22.205207650398147,-99999.0,False,0.9286296422727768,A3667,True,0.0,,,,,,,,,,,,,,0.9484689828723508,57.060672760009766,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,40,0,1.0
11,C901005402502419,303.9020581975139,-57.00570782574154,1.888264536857605,0.0394200012087821,8.756583854000057,-999999.0,20.1600341796875,19.351470947265625,19.014081767186997,18.82410049438477,21.974659813052707,-99999.0,False,0.7244900211493271,A3667,False,0.0,,,,,,,,,,,,,,1.1459524125005025,7.55305814743042,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,48,0,9.0
12,C901005168105214,304.7499820711368,-57.764387068152345,5.04355001449585,0.0570648051798343,10.12510783567797,-999999.0,17.020021438598633,16.338050842285156,16.086647850972557,15.854765892028809,21.09460718341162,-99999.0,False,2.0035365178222557,A3667,True,0.0,,,,,,,,,,,,,,0.9333735876260754,20.1742000579834,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,53,0,4.0
14,C901005323701693,303.43661480476635,-57.3499210713675,5.001499652862549,0.0566346189086444,10.18897350270708,-999999.0,17.128353118896484,16.39229965209961,16.049586454027985,15.844549179077148,21.130675548826503,-99999.0,False,0.8578756985020914,A3667,True,0.0,,,,,,,,,,,,,,1.0787666648684997,20.005998611450195,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,44,0,1.0
15,C901005401906860,301.39240984422725,-57.05294069159645,3.9853873252868657,0.0337781831622123,8.603296579011399,-999999.0,18.592117309570312,18.19769287109375,18.079814394071196,17.975448608398438,22.442920229244457,-99999.0,False,1.5019088241989955,A3667,False,0.0,,,,,,,,,,,,,,0.5123029154991166,15.94154930114746,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,45,0,9.0
16,C901005167700489,302.6609256571151,-57.64740806411497,3.389401435852051,0.0353259444236755,8.817184812280505,-999999.0,18.509862899780273,18.05845642089844,17.810242817169264,17.780216217041016,21.951946148134628,-99999.0,False,1.3316682088305547,A3667,False,0.0,,,,,,,,,,,,,,0.699620082611009,13.557605743408203,,,False,False,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,True,47,0,1.0
17,C901005561310227,303.0726487785857,-56.5991601114014,2.4818177223205566,0.0565401948988437,9.724731899097018,-999999.0,18.879518508911133,18.543283462524418,17.160904657591548,18.47505569458008,21.760007551633883,-99999.0,False,0.3557032223347336,A3667,True,0.0,,,,,,,,,,,,,,1.718613851319585,9.927270889282228,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,43,0,9.0
18,C901005245803983,304.65160203589784,-57.554335435086216,2.9985995292663574,0.055669255554676,9.824661753903284,-999999.0,18.54234313964844,17.843555450439453,17.069335510914442,17.375396728515625,21.471022474571708,-99999.0,False,1.719848503059923,A3667,True,0.0,,,,,,,,,,,,,,1.4730076287339957,11.99439811706543,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,46,0,9.0
