"probe","X","ID","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","x","y","rads","angs","azAngs","angs_azAng"
"1",0,"C901007176706574",312.360429537155,-51.6641240225776,18.0402603149414,17.3091506958008,16.9777750011701,16.8342056274414,0,0,0,0,9.35650451085924,2.93822550773621,0.031163390725851,20.8924510009187,NA,NA,8,-111772.924602891,177741.059788862,1,-73500.91,-185979.81,NA,"P",-73.50091,-185.97981,199.977182444558,2.64299297232924,1.19442686210346,1.44856611022577
"2",1,"C901006998206718",311.512861509595,-52.1779778740138,18.0196743011475,17.1883888244629,17.0268090076029,16.5372905731201,0,0,0,0,9.77691182343543,10.3636665344238,0.0465961024165153,23.5088306587062,NA,NA,4,-303323.298831602,61610.0893642704,1,-195723.42,-62155.34,NA,"P",-195.72342,-62.15534,205.35565107153,-1.46725185440783,0.307494574260936,4.50843887851082
"3",2,"C901006998900299",314.095166118216,-52.172410582089,18.5350761413574,18.1953544616699,18.0112293586947,18.0077686309814,0,0,0,0,7.59166981259622,3.73710536956787,0.009973551146686,22.3009058592747,NA,NA,8,280277.542716751,62868.2973392764,1,179959.16,-65089.11,NA,"P",179.95916,-65.08911,191.368470518259,4.62410950815952,2.79454334016768,1.82956616799184
"4",3,"C901006734800319",313.665746732213,-53.0889559967526,17.6880226135254,16.9478225708008,16.6331749403328,16.4624843597412,0,0,0,0,9.79902752652432,3.14209032058716,0.0448311101645231,20.6767905767574,NA,NA,8,183228.761480197,-144270.966374686,1,116036.54,151516.61,NA,"P",116.03654,151.51661,190.844862967447,2.69134573457604,4.05883102058139,4.91570002117423
"5",4,"C901007087706512",313.751279577272,-52.0377720976394,16.3921508789062,15.5896043777466,15.2416925752732,14.965145111084,0,0,0,0,10.4512200226943,6.67233610153198,0.045474532583663,20.9538686326455,NA,NA,8,202559.184463491,93296.5948249043,1,129476.08,-96946.72,NA,"P",129.47608,-96.94672,161.748946861872,4.44010180794069,2.4988845763181,1.94121723162259
"6",5,"C901006998707184",313.56299187233,-52.3219354651219,16.8090000152588,15.9495029449463,15.6224381087198,15.3522090911865,0,0,0,0,10.3166723703029,4.11326313018799,0.0442350711673498,20.2633100902662,NA,NA,1,160006.163146506,29075.6737738483,1,101026.81,-29978.28,NA,"P",101.02681,-29.97828,105.380802855807,4.1274135250477,2.85313314261765,1.27428038243005
"7",6,"C901006734700895",313.278254888113,-52.9566743209266,16.1446628570557,15.3858203887939,15.0967884442647,14.8300065994263,0,0,0,0,10.5223875573339,6.97022151947021,0.0486563246942591,20.8449279733255,NA,NA,8,95655.6047134433,-114375.307638012,1,60315.47,118704.72,NA,"P",60.31547,118.70472,133.149414086579,3.01762467804209,4.24227166374475,5.05853832147692
"8",7,"C901006647509765",312.594818796721,-53.2682865840413,17.7114543914795,16.9656562805176,16.692857973404,16.4755516052246,0,0,0,0,9.78615355807934,3.63871312141419,0.0448190420866012,21.0132700465896,NA,NA,8,-58800.9519411544,-184799.679101937,1,-36153.6,194257.7,NA,"P",-36.1536,194.2577,197.593362242384,2.80452857370409,-1.38679001669131,4.1913185903954
"9",8,"C901006647403868",311.940815006233,-53.156098811424,15.8353443145752,15.1463556289673,15.1422228321673,14.6411914825439,0,0,0,0,10.3743174811587,10.6482582092285,0.048223724956369,21.5256231796301,NA,NA,8,-206605.808591312,-159445.242490428,1,-129881.1,169368.93,NA,"P",-129.8811,169.36893,213.436019890165,3.06446391519576,-0.916596154331211,3.98106006952697
"10",9,"C901007087408220",312.612316476369,-52.0533994149732,16.8820037841797,16.2779598236084,16.0432935390944,15.8394985198975,0,0,0,0,9.96231187423364,4.35794115066528,0.0483425222337245,20.7172413116803,NA,NA,8,-54846.4763407219,89764.8211074634,1,-35214.45,-92538.76,NA,"P",-35.21445,-92.53876,99.0125223956046,1.82877212761235,1.20717989579016,0.621592231822191
