,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,W345660606112231,-15.505936309094976,-33.6640977848247,2.87467781512978,0.0291000008583068,9.615122912385708,17.74762900725562,16.550051540995902,16.009074148821114,15.788395335201296,15.645542926228137,19.544894717507184,0.1468849937251439,True,,,True,0.0,,,,,,,,,,,,,,0.7616562057946066,11.49871126051912,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,33148.535222284554,30240.632954543926,108,-15.652611243706854,-33.797905895243034,False
1,W343660008508676,-16.105226713784987,-33.9584234961358,2.97827247244801,0.0292000006884336,9.244731820941702,19.776984332871695,18.277002711424966,17.581002185426783,17.22839651437487,17.029827560324406,21.19369900426895,0.231355771789571,True,,,True,0.0,,,,,,,,,,,,,,1.0486061970500948,11.91308988979204,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-102291.09623765797,-36276.977801765366,108,-15.652611243706854,-33.797905895243034,False
2,W345661186809632,-16.088571653720976,-33.8797453375565,1.99436576824014,0.0312300007790327,8.705306912789768,20.538067853208425,19.27556966199164,18.630293391990783,18.40536841799888,18.186468255259655,21.372192129864953,0.126070246500411,True,,,True,0.0,,,,,,,,,,,,,,0.87020124399276,7.97746307296056,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-98527.05266319154,-18495.713962843383,108,-15.652611243706854,-33.797905895243034,False
3,W343660060507468,-16.15670061051702,-34.0593660112554,3.22950287191415,0.0285999998450279,10.064224722515116,18.07743748912464,16.27674068986757,15.53909338087563,15.194593682696093,14.938213157529358,19.327646438042436,0.4565152360372519,True,,,True,0.0,,,,,,,,,,,,,,1.0821470071714767,12.9180114876566,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-113924.19689909766,-59089.986218794606,108,-15.652611243706854,-33.797905895243034,False
4,W345660318107312,-15.215741415493994,-34.0734436925912,6.44985591893701,0.0299999993294477,10.4791159168468,16.01492559973918,14.739478607057126,14.150348422687886,13.87500378398984,13.665025380412215,19.44097317038289,0.3641361563848739,True,,,True,0.0,,,,,,,,,,,,,,0.8644748230672867,25.79942367574804,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,98732.58117610632,-62271.54220068513,108,-15.652611243706854,-33.797905895243034,False
5,W343660202909502,-16.300926226239028,-33.890536472455,2.49871186659132,0.0300999991595745,9.588231218314233,19.86484016239737,18.047112102862343,17.211343770081868,16.794521501763313,16.488642422918673,20.442799348367856,0.493382725152139,True,,,True,0.0,,,,,,,,,,,,,,1.2525906010990298,9.99484746636528,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-146519.18605227128,-20934.51044990371,108,-15.652611243706854,-33.797905895243034,False
6,W343660125510819,-16.22397676726399,-33.7804567562501,2.87320120546743,0.0260884910821914,8.60811929349163,19.32227351365986,18.280672396727976,17.89839922845011,17.71897103650863,17.622443138873145,21.433104110045186,0.455876736604305,True,,,True,0.0,,,,,,,,,,,,,,0.5617013602193452,11.49280482186972,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-129128.60832391302,3943.505412402203,108,-15.652611243706854,-33.797905895243034,False
7,W345670853407843,-15.552425108301977,-33.0296990483633,5.45714417488199,0.0309100002050399,9.132904893844714,18.441127187150503,17.33265550260469,16.96369737468995,16.770555479663184,16.712011290042454,21.891399195259055,0.1801764225118299,True,,,True,0.0,,,,,,,,,,,,,,0.5621000229415074,21.82857669952796,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,22642.066601502298,173614.7473948202,108,-15.652611243706854,-33.797905895243034,False
8,W345660010509379,-14.907714249193988,-33.8998562399529,1.65237253614078,0.0296999998390674,8.34902624499892,19.700488358644172,18.688906150505964,18.40149806088322,18.31414030525191,18.203456872715236,20.734912582693607,0.2304776437332,True,,,True,0.0,,,,,,,,,,,,,,0.3747658452540534,6.60949014456312,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,168346.72075990765,-23040.77790443061,108,-15.652611243706854,-33.797905895243034,False
9,W345670422905540,-15.123920686986992,-33.2214032928146,3.88340955054279,0.0283000003546476,8.47461747092966,20.0360926345645,18.831890280514894,18.415703949309684,18.254552781222888,18.244221138181707,22.604644602783075,0.32821086122093,True,,,True,0.0,,,,,,,,,,,,,,0.5773374992920068,15.53363820217116,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,119484.06581868889,130289.58814882605,108,-15.652611243706854,-33.797905895243034,False
