"probe","X","ID","RA","DEC","g_mag","r_mag","i_mag","z_mag","y_mag","GAIA_g_mag","GAIA_bp_mag","GAIA_rp_mag","Mstar","Re","z","GAL_MU_E_R","pmRA","pmDEC","priority","MagnetX_noDC","MagnetY_noDC","type","MagnetX","MagnetY","SkyPosition","fibre_type","x","y","rads","angs","azAngs","angs_azAng"
"1",0,"W13701146805374",12.2686581216427,-30.3348336479418,16.4579486621245,15.629181818022,15.3083436719801,15.0572502365696,0,0,0,0,10.8686896406052,2.2250107920887,0.0741246119141578,18.6087171087763,NA,NA,8,130776.73549125,105925.124456553,1,117545.59,-110137.9,NA,"P",117.54559,-110.1379,161.081726911708,0.900729561792011,2.38871805133713,4.79519681763447
"2",1,"W12700308307934",11.8774214482814,-30.121668788105,17.1271150593921,16.6170574576109,16.3162302380509,16.1227260429502,0,0,0,0,9.67245720281691,2.62697455528428,0.0382807329297065,19.9572114706288,NA,NA,4,42357.2473115964,154100.38277967,1,38101.03,-160641.7,NA,"P",38.10103,-160.6417,165.098286683875,1.13075764988798,1.80367337808622,5.61026957898134
"3",2,"W12700913908943",11.2941453180095,-30.0379651788943,17.2296875993532,16.9331217212627,16.8489542752872,16.7139423419464,0,0,0,0,8.1515438005625,10.1667053264889,0.0118891419842839,23.2118975833708,NA,NA,8,-89463.1581298529,173017.398461288,1,-81356.32,-181314.98,NA,"P",-81.35632,-181.31498,198.730905438341,2.63932486247128,1.14902268313716,1.49030217933412
"4",3,"W11700313204082",10.7739190580201,-30.4426738884526,17.0898041338504,16.4724090600913,16.187518343963,15.9729777136392,0,0,0,0,10.096177977983,3.56895638950238,0.0551000013947486,20.477989947682,NA,NA,4,-207034.292887457,81553.2301011127,1,-187641.66,-84835.51,NA,"P",-187.64166,-84.83551,205.928279564793,4.75320871463255,0.424610930557399,4.32859778407515
"5",4,"W11690277810682",10.9100377478862,-30.8925648131013,16.7035637037404,16.1218820445327,15.8147321719088,15.6683403802149,0,0,0,0,10.0343207554018,3.26209413920094,0.0433932766318321,19.9322391761682,NA,NA,4,-176271.468977719,-20122.1188694933,1,-157558.23,21603.86,NA,"P",-157.55823,21.60386,159.032457717387,-1.13093178736348,-0.136266926968754,5.28852044678486
"6",5,"W11690092907692",11.0911310808995,-31.1410252394602,18.1129918012391,17.7228975622497,17.4888121607525,17.3720570395533,0,0,0,0,8.91199434439096,3.93128571580776,0.0317372158169746,21.9384452858907,NA,NA,8,-135344.375716713,-76274.1752266047,1,-120413.19,79710.13,NA,"P",-120.41319,79.71013,144.405821041234,5.86696529355143,-0.584745229147148,0.168525215518996
"7",6,"W12690922410579",11.4840585816844,-30.9016150389812,18.3928919973254,17.7694685868406,17.4176853325618,17.195719326775,0,0,0,0,9.72498775823989,3.04828644966968,0.0598723776638507,21.4326221463258,NA,NA,4,-46542.7605393256,-22167.4699183507,1,-41097.67,22881.86,NA,"P",-41.09767,22.88186,47.0382609849525,-0.412323071648947,-0.508024378183006,0.0957013065340586
"8",7,"W12691105604180",11.3039176864226,-31.4344311381373,17.045256935954,16.2876208967207,15.9115074112831,15.6520680820511,0,0,0,0,10.1798229038732,3.01412902406321,0.0439999997615814,19.9263047732917,NA,NA,4,-87254.6028684921,-142583.908327629,1,-77628.39,149019.65,NA,"P",-77.62839,149.01965,168.026852080596,3.01057637064779,-1.09054745777805,4.10112382842584
"9",8,"W12691107001885",11.3017433467638,-31.62566579076,16.83679476901,16.1491677578829,15.8386611954883,15.6127138187043,0,0,0,0,9.82718056076414,1.64776656753738,0.0314088501036167,18.4765208744486,NA,NA,4,-87746.0036313811,-185802.93982036,1,-78582.29,195885.35,NA,"P",-78.58229,195.88535,211.059817696942,0.615794076938007,-1.18928629112307,1.80508036806108
"10",9,"W12690443603626",11.9505880786413,-31.4809620279736,16.8242939989614,16.4567972524277,16.2967330155844,16.1986367366973,0,0,0,0,7.79380602852016,12.0266916287998,0.0054000001400709,23.1004028119425,NA,NA,8,58892.9057729338,-153099.889430633,1,52534.38,159879.71,NA,"P",52.53438,159.87971,168.28958004484,2.82519051108892,4.39491627159696,4.71345954667154
"11",10,"W12690407001863",11.9867976140803,-31.6277965278898,15.4429886280009,14.9365201644105,14.6410101548993,14.505128224971,0,0,0,0,10.7460461448663,6.1561604484334,0.0621999986469745,20.1259444979154,NA,NA,4,67076.260782148,-186284.486411694,1,60195.83,195998.43,NA,"P",60.19583,195.99843,205.033954534008,2.59209268780302,4.41440925029273,4.46086874468987
"12",11,"W12700192603146",11.9908727115965,-30.5202850401916,18.7911814513517,18.006656850846,17.69488109804,17.4555906202337,0,0,0,0,9.68540044635014,2.35161541585576,0.0588999986648559,21.1063630251537,NA,NA,4,67997.2328208092,64013.1098080988,1,60477.99,-66088.36,NA,"P",60.47799,-66.08836,89.583807699437,1.06804870960341,2.31189598849959,5.0393380282834
"13",12,"W12700047401700",12.1320954232953,-30.6401706509568,15.7622183173394,15.2716481497742,15.0323658443239,14.8907845454201,0,0,0,0,10.504989010081,7.21403984077622,0.0597346574068069,20.8054155137844,NA,NA,4,99913.565664738,36918.9617751632,1,88782.15,-38016.09,NA,"P",88.78215,-38.01609,96.5789483143744,3.66877075022137,2.73701876340095,0.931751986820419
