,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,C901006595703473,97.06145077586352,-53.33019557516265,5.565736770629883,0.05161639675498,9.64636263559044,-999999.0,17.95558738708496,17.306154251098633,16.95673233245551,16.83894157409668,22.27664224630396,-99999.0,False,0.5947335706007137,A3391,True,0.0,,,,,,,,,,,,,,0.998855054629452,22.26294708251953,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,237554.64582140496,110505.31536345684,32,96.01032402444137,-53.819157147567324,False
1,C901006595305705,95.49724100533716,-53.305173882986296,5.943026065826416,0.0582563574967072,10.762762253344633,-999999.0,16.354320526123047,15.412538528442385,15.1217281746994,14.713489532470703,20.52545138546317,-99999.0,True,0.974842821673474,A3391,True,0.0,,,,,,,,,,,,,,1.232592351423648,23.772104263305664,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,-115956.76231755261,116160.21779531249,32,96.01032402444137,-53.819157147567324,False
2,C901006423600219,95.89959431235816,-53.6564479217015,2.348353385925293,0.0563943497836589,10.215363821085647,-999999.0,17.784870147705078,16.85059356689453,16.41609792415993,16.174537658691406,19.94728550454272,-99999.0,True,0.5268791008341835,A3391,True,0.0,,,,,,,,,,,,,,1.3687722235451467,9.393413543701172,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,-25024.91493080612,36772.285045676486,32,96.01032402444137,-53.819157147567324,False
3,C901006423701010,96.36156100546928,-53.627254283610206,1.8131293058395384,0.0535862259566783,9.964484377623506,-999999.0,18.38213348388672,17.451610565185547,16.9880554097379,16.788862228393555,19.98662913449741,-99999.0,True,0.1912933623188097,A3391,True,0.0,,,,,,,,,,,,,,1.394078074148819,7.252517223358154,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,79379.5577123076,43370.04725430869,32,96.01032402444137,-53.819157147567324,False
4,C901006254201056,97.29867565241068,-54.165740554667096,2.2637593746185303,0.0464922183064078,9.87633256895174,-999999.0,17.603660583496094,16.852386474609375,16.51095712326837,16.29376983642578,19.869412465416172,-99999.0,False,0.4275399363671985,A3395,True,0.0,,,,,,,,,,,,,,1.0927034602277246,9.05503749847412,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,291167.467921063,-78327.85000454837,32,96.01032402444137,-53.819157147567324,False
5,C901006170001509,96.92221229881292,-54.3969347120031,3.521205425262451,0.0543998161328538,10.119460438754585,-999999.0,17.99931526184082,17.065643310546875,16.50141570207735,16.358139038085938,21.04197480388064,-99999.0,True,0.0628620831515418,A3395,True,0.0,,,,,,,,,,,,,,1.4978995597634714,14.084821701049805,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,206086.75000797003,-130577.7295624857,32,96.01032402444137,-53.819157147567324,False
6,C901006423703870,96.51702204872568,-53.64834500623406,6.303707122802734,0.0449052825570106,9.950170918458353,-999999.0,16.014995574951172,15.557419776916504,15.506115507830648,15.196857452392578,20.798274594395775,-99999.0,False,0.0780276893674276,A3391,True,0.0,,,,,,,,,,,,,,0.5088800671205238,25.214828491210938,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,114513.7534882528,38603.543941317854,32,96.01032402444137,-53.819157147567324,False
7,C901006253905761,96.27752410332582,-54.164418056855766,1.896208882331848,0.0611930713057518,9.855964845470828,-999999.0,18.41547966003418,17.620370864868164,17.083924142629815,17.014530181884766,20.252676429565582,-99999.0,True,0.5393334436474113,A3395,True,0.0,,,,,,,,,,,,,,1.3315555174043645,7.584835529327393,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,60387.21782788409,-78028.96549918779,32,96.01032402444137,-53.819157147567324,False
8,C901006423703251,96.48207303912709,-53.782651840304005,1.7164640426635742,0.0602902770042419,9.860522739004212,-999999.0,18.770893096923828,17.837249755859375,17.37710913608802,17.156152725219727,20.253297987803613,-99999.0,True,0.1399116582068665,A3391,True,0.0,,,,,,,,,,,,,,1.3937839608358082,6.865856170654297,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,106615.27731897116,8250.199441510049,32,96.01032402444137,-53.819157147567324,False
9,C901006254003392,96.5705119533413,-54.337963634974216,3.880394697189331,0.0502753266000781,10.37945777076458,-999999.0,17.288105010986328,16.287803649902344,15.825601101947123,15.552434921264648,20.47505784374952,-99999.0,True,0.2595836389815758,A3395,True,0.0,,,,,,,,,,,,,,1.462503909039205,15.521578788757324,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,126602.47193138224,-117250.26615395746,32,96.01032402444137,-53.819157147567324,False
10,C901006169905661,96.72349967585448,-54.58530264815292,2.0509839057922363,0.0513099990785121,9.964441298108886,-999999.0,18.42238426208496,17.441492080688477,16.842370195524577,16.722789764404297,20.244178024643393,-99999.0,True,0.1990896348194754,A3395,True,0.0,,,,,,,,,,,,,,1.580014066560384,8.203935623168945,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,161177.6972193628,-173148.8831323443,32,96.01032402444137,-53.819157147567324,False
11,C901006169906910,96.779315673086,-54.44470815107066,3.2811453342437744,0.054668940603733,9.995466873571036,-999999.0,18.089569091796875,17.138988494873047,16.83970164587282,16.460739135742188,20.961990513333223,-99999.0,True,0.0828799896409336,A3395,True,0.0,,,,,,,,,,,,,,1.2498674459240533,13.124581336975098,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,173792.11259368624,-141374.52679175313,32,96.01032402444137,-53.819157147567324,False
12,C901006423704721,96.56483892477686,-53.85849690335475,2.1203088760375977,0.0516690783461937,10.129218317869736,-999999.0,17.878704071044922,16.95353889465332,16.409275877531044,16.28679084777832,19.82840923336164,-99999.0,True,0.2141100057525751,A3391,True,0.0,,,,,,,,,,,,,,1.4694281935138775,8.48123550415039,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,125320.36747582091,-8890.784807957773,32,96.01032402444137,-53.819157147567324,False
13,C901006254107777,97.1867931212044,-54.270125193181414,3.903987169265747,0.0588040143424822,9.757991944711131,-999999.0,18.581233978271484,17.736820220947266,17.350162711234166,17.134244918823242,21.937236810967548,-99999.0,True,0.2854337300692406,A3395,True,0.0,,,,,,,,,,,,,,1.2310712670373185,15.615948677062988,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,265882.01586844446,-101918.77830878431,32,96.01032402444137,-53.819157147567324,False
14,C901006169901600,96.512694063412,-54.41167500855496,1.581350564956665,0.018568130210042,8.336700273389827,-999999.0,18.98101043701172,18.377925872802734,17.92449999170849,17.961994171142578,20.61594134489876,-99999.0,False,0.2673577316407564,A3395,False,0.0,,,,,,,,,,,,,,1.0565104453032284,6.32540225982666,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,113535.62880736124,-133909.0365832053,32,96.01032402444137,-53.819157147567324,False
15,C901006509203712,95.65028598953026,-53.41190773077857,1.729645848274231,0.0596816390752792,9.703001199494782,-999999.0,18.96672248840332,18.10006523132324,17.657145286044884,17.494657516479492,20.53272585677947,-99999.0,True,0.8043517775801982,A3391,True,0.0,,,,,,,,,,,,,,1.3095772023584369,6.918583393096924,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,-81368.59588991164,92038.36819425778,32,96.01032402444137,-53.819157147567324,False
16,C901006423605018,96.18540210733798,-53.6841602083026,3.460783004760742,0.0490465871989727,9.906697367408396,-999999.0,18.252925872802734,17.320995330810547,16.811195522866377,16.568876266479492,21.259741859364077,-99999.0,True,0.3061444028112253,A3391,True,0.0,,,,,,,,,,,,,,1.441730349936357,13.843132019042969,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,39567.64673463257,30509.3082738276,32,96.01032402444137,-53.819157147567324,False
17,C901006509302275,95.99571481552232,-53.62063435125817,5.446390628814697,0.0474571175873279,9.789644275586092,-999999.0,16.495441436767578,15.953607559204102,16.10734378886089,15.583951950073242,20.87702617499953,-99999.0,False,0.4610034878752619,A3391,True,0.0,,,,,,,,,,,,,,0.3880976479066866,21.78556251525879,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-3301.6812157063387,44866.15196586926,32,96.01032402444137,-53.819157147567324,False
18,C901006509501374,96.78582857705186,-53.48309859748221,4.672152042388916,0.0517758188566571,10.679735391627446,-999999.0,16.585073471069336,15.591999053955078,15.211067654228788,14.8773775100708,20.182458571982792,-99999.0,True,0.3119521735830496,A3391,True,0.0,,,,,,,,,,,,,,1.3740058168405476,18.688608169555664,,,False,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,175264.02888996963,75949.23231923554,32,96.01032402444137,-53.819157147567324,False
19,C901005920705915,96.84531084721986,-55.15194251061457,5.7261738777160645,0.0480697527527809,10.176526298072808,-999999.0,16.528213500976562,15.820476531982422,15.392846331135967,15.279067993164062,20.852673870834177,-99999.0,False,0.8206629105746841,A3395,True,0.0,,,,,,,,,,,,,,1.1353671698405954,22.904695510864254,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-164927.70809721044,50658.10312434174,33,97.57507946711902,-55.37609340939484,False
20,C901005756904718,96.19744808745342,-55.778409310191755,4.166339874267578,0.0498853996396064,10.251920748603,-999999.0,17.85577392578125,16.835060119628906,16.294320594585894,16.01178741455078,21.1767082771644,-99999.0,True,1.6203730774754634,A3395,True,0.0,,,,,,,,,,,,,,1.5614533311953558,16.665359497070312,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,2.0,-311344.6918044259,-90923.3935801026,33,97.57507946711902,-55.37609340939484,False
