,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,W42690099807784,42.4843662742941,-31.1333894838431,4.49689205198093,0.0240000002086162,10.256982264971793,17.37498376027842,15.472749861615943,14.707894166069982,14.371577916537522,14.086009766570871,19.215331160014937,0.2417002347548059,True,,,True,0.0,,,,,,,,,,,,,,1.1011719450784216,17.98756820792372,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,63155.1336834253,40733.094374681816,78,42.204918780119655,-31.313624414704524,False
1,W43680280609754,42.8115815439688,-31.8698800240613,8.92922464372742,0.0350000001490116,9.24740620252949,18.158215457011913,16.99764558332088,16.71491200965394,16.549159845376792,16.614244354421523,22.71185543736049,0.6639388351638991,True,,,True,0.0,,,,,,,,,,,,,,0.4484857379440896,35.71689857490968,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,137105.78462990653,-125713.76771463115,78,42.204918780119655,-31.313624414704524,False
2,W42690464000929,42.1312054951879,-31.705736602872,9.88667419438152,0.0228000003844499,10.11392478523037,17.122717452241268,15.385573807191422,14.743221453530987,14.40542630666802,14.185788858419324,20.96134724848979,0.52205329605793,True,,,True,0.0,,,,,,,,,,,,,,0.9801475005234028,39.54669677752608,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-16659.20239457688,-88617.35452584983,78,42.204918780119655,-31.313624414704524,False
3,W42690197007936,42.3896779069781,-31.1211158371343,5.81756756968741,0.0232999995350837,10.239265362906092,17.50780538695922,15.52409539425646,14.73457151589375,14.397485459827944,14.114553416733102,19.801153378713828,0.4624164689951749,True,,,True,0.0,,,,,,,,,,,,,,1.126609934428517,23.27027027874964,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,41755.562670008614,43506.93853087037,78,42.204918780119655,-31.313624414704524,False
4,W42700192703388,41.890675142141,-30.5001200670057,6.99042180932713,0.017400000244379,8.672950158933457,19.10449538392304,17.696329154504184,17.211604706805957,16.973056968747144,16.840950149479852,22.67699630012818,0.753396710207068,True,,,True,0.0,,,,,,,,,,,,,,0.7232721857570397,27.96168723730852,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-71019.06218317624,183851.98257993432,78,42.204918780119655,-31.313624414704524,False
5,W42690354308051,42.2365295241661,-31.1120211798723,2.98351479392877,0.0228000003844499,9.6477587131097,,16.60533992996419,15.87461026375377,15.60555795294055,15.320738689538574,19.49112592378654,0.232322037015622,True,,,True,0.0,,,,,,,,,,,,,,0.9997819770236412,11.93405917571508,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,7144.02815449688,45562.331072082496,78,42.204918780119655,-31.313624414704524,False
6,W43691123708842,42.6879371212594,-31.045887314795,1.89694079659342,0.0220999997109174,8.242051552851235,20.308143281587498,19.0104823494056,18.577614458021568,18.387201628765503,18.258585672016817,21.21075802373629,0.4085114674342079,True,,,True,0.0,,,,,,,,,,,,,,0.6232807206400963,7.58776318637368,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,109162.14509758283,60508.584579552546,78,42.204918780119655,-31.313624414704524,False
7,W43690705210172,43.0949966217763,-30.9357101114732,3.57615086538712,0.0224850326776504,9.226122812307803,17.51192670108282,16.318498726369135,15.95281726954412,15.792345879225437,15.626723377862248,19.962771110711895,0.384953549616188,True,,,True,0.0,,,,,,,,,,,,,,0.5261528471436989,14.30460346154848,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,201157.59221440248,85408.63253027944,78,42.204918780119655,-31.313624414704524,False
8,W43680463311639,42.631913688321,-31.7132543107588,3.69252897010619,0.0235682185739278,8.374613095770847,19.891069720387883,18.617105207666317,18.243570713042786,18.066074499887712,18.05092196902227,22.32306495126935,0.1030114207948279,True,,,True,0.0,,,,,,,,,,,,,,0.5510307077786045,14.77011588042476,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,96500.84925350375,-90316.35650826621,78,42.204918780119655,-31.313624414704524,False
9,W42690195907117,42.391102591050696,-31.1893592287399,13.3659348712275,0.0228257905691862,11.18552321996527,15.571479889088726,13.327808865036122,12.353797049886778,12.124113606853385,11.550544700139824,19.226668434558157,0.069257376079784,True,,,True,0.0,,,,,,,,,,,,,,1.2036952581827371,53.46373948491,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,42077.54127041531,28083.93202800512,78,42.204918780119655,-31.313624414704524,False
10,W43700907202464,42.3994969227535,-30.5778825308348,9.95522872673427,0.0042395996861159,9.125188022413402,14.925193886204486,13.537471100594436,13.031300280967896,12.806040243810465,12.671615385925808,19.264431175840016,0.0495296582802009,True,,,True,0.0,,,,,,,,,,,,,,0.7314308567839714,39.82091490693708,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,43974.66023524879,166277.66575455782,78,42.204918780119655,-31.313624414704524,False
11,W43690886510095,42.9188466283877,-30.9420004486801,3.80739771029181,0.0215000007301569,8.347011393524685,19.976419335454757,18.657152201078276,18.204819707399217,18.045372688117645,17.899780041015994,22.350835611088858,0.294143511603948,True,,,True,0.0,,,,,,,,,,,,,,0.6117795129606307,15.22959084116724,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,161347.6937085776,83987.01632151954,78,42.204918780119655,-31.313624414704524,False
12,W41690081007572,41.4027799381888,-31.1509712515808,2.39413962428171,0.0878999978303909,10.81981824685129,19.76627718107364,17.528491137531915,16.587517024776538,16.16113647599113,15.825255195191074,19.72613907906699,0.5791378605337401,True,,,True,0.0,,,,,,,,,,,,,,1.3673546615407872,9.57655849712684,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-181283.37827637323,36759.61486596183,78,42.204918780119655,-31.313624414704524,False
13,W42690428307499,42.1646326720177,-31.1581877526607,3.14395474310252,0.0223725065588951,9.372819795204508,18.49975340253807,16.996870534247815,16.38282739637213,16.089297017987136,15.818123619053976,20.113083507052604,0.5916481733658461,True,,,True,0.0,,,,,,,,,,,,,,0.9075735162606796,12.57581897241008,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-9104.660431041226,35128.685621903845,78,42.204918780119655,-31.313624414704524,False
14,W41680139910730,41.7491470038157,-31.7880330055066,4.05504971935417,0.0225502625107765,8.29657438156979,19.976080377358855,18.550042808636327,18.226475162433935,18.05948875289297,18.004469593081673,22.50933076170019,0.351877479208583,True,,,True,0.0,,,,,,,,,,,,,,0.4905540557433561,16.22019887741668,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-103004.42144469378,-107216.34152126878,78,42.204918780119655,-31.313624414704524,False
15,W41680024810389,41.8621822147969,-31.8159130270949,4.79588863856856,0.0228091124445199,9.414584640180218,17.41468858737428,16.161133999815362,15.754803889353951,15.532720200815984,15.391700824637844,20.402024021813133,0.40508641188161,True,,,True,0.0,,,,,,,,,,,,,,0.628413798999377,19.18355455427424,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-77458.46376294208,-113517.22640022513,78,42.204918780119655,-31.313624414704524,False
16,W43691224707315,42.5890180924432,-31.17278251848,2.30213138776556,0.0218018963932991,8.67585338740686,18.507461547506672,17.39988163459769,17.051805813065243,16.956100183028404,16.792607479068135,20.10533102557275,0.238395022474575,True,,,True,0.0,,,,,,,,,,,,,,0.4437814515692864,9.20852555106224,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,86806.44458512051,31830.26854674281,78,42.204918780119655,-31.313624414704524,False
17,W42690306001219,42.2858599917107,-31.681199611326,6.74178644197095,0.0225000008940696,9.319881404140425,17.864613182012846,16.50409721626146,16.037771402295096,15.82674174755562,15.68517132014886,21.424521040809147,0.1276839880114849,True,,,True,0.0,,,,,,,,,,,,,,0.6773554687058407,26.9671457678838,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,18292.713819576435,-83071.99443645377,78,42.204918780119655,-31.313624414704524,False
18,W41680096212907,41.7908162355995,-31.6064441014761,2.13657903292154,0.0219999998807907,8.476589620999128,19.067057965729596,18.010549653985017,17.653934175584574,17.53314687309134,17.44324951875705,20.54540366821326,0.135559363414382,True,,,True,0.0,,,,,,,,,,,,,,0.4774027808936765,8.54631613168616,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-93587.17506155501,-66177.24921037623,78,42.204918780119655,-31.313624414704524,False
19,W43690705210172,43.0949966217763,-30.9357101114732,3.57615086538712,0.0224850326776504,9.226122812307803,17.51192670108282,16.318498726369135,15.95281726954412,15.792345879225437,15.626723377862248,19.962771110711895,0.384953549616188,True,,,True,0.0,,,,,,,,,,,,,,0.5261528471436989,14.30460346154848,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,9.0,141422.67251987758,57793.9110390385,79,42.46923258407773,-31.19143538155744,False
20,W42690162306943,42.4239115409754,-31.2037301993496,2.93332090118672,0.0288999993354082,9.629777731518276,17.283216213985874,16.058670361999585,15.636447914410152,15.45609697388814,15.319465720009417,19.216120480075094,0.363513423030666,True,,,True,0.0,,,,,,,,,,,,,,0.6025733881114448,11.73328360474688,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-10242.555741125798,-2778.628821028164,79,42.46923258407773,-31.19143538155744,False
21,W42690306001219,42.2858599917107,-31.681199611326,6.74178644197095,0.0225000008940696,9.319881404140425,17.864613182012846,16.50409721626146,16.037771402295096,15.82674174755562,15.68517132014886,21.424521040809147,0.1276839880114849,True,,,True,0.0,,,,,,,,,,,,,,0.6773554687058407,26.9671457678838,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,9.0,-41442.20587494847,-110686.71592769472,79,42.46923258407773,-31.19143538155744,False
22,W42690063107823,42.5200711300495,-31.1299734849974,3.3795969145832,0.0255999993532896,9.44042220035994,19.15703502750076,17.30798837522284,16.622806893696687,16.331207075040133,16.07540734721171,20.510006100176167,0.400675134728832,True,,,True,0.0,,,,,,,,,,,,,,0.976781300182708,13.5183876583328,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,11489.511389620362,13890.388622569035,79,42.46923258407773,-31.19143538155744,False
23,W42690279208632,42.3094151606556,-31.0633953808459,3.7326403946034,0.0212061218917369,8.569372411476179,20.092703875334152,18.52200401531372,17.960734731783987,17.747583289606037,17.562513874697558,22.063690171934457,0.55698795267983,True,,,True,0.0,,,,,,,,,,,,,,0.7744207257076816,14.9305615784136,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,-36118.73769340211,28937.04016080796,79,42.46923258407773,-31.19143538155744,False
24,W43680237110351,42.854017157451,-31.8199879639942,4.5433736410968,0.0226000007241964,9.389489275125324,18.821129238212393,17.098929745243517,16.434262986396526,16.14726785575779,16.0790332054211,20.964029938594955,0.279204258673287,True,,,True,0.0,,,,,,,,,,,,,,0.9516618894857274,18.1734945643872,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,86961.31358235831,-142052.88363070798,79,42.46923258407773,-31.19143538155744,False
25,W42700192703388,41.890675142141,-30.5001200670057,6.99042180932713,0.017400000244379,8.672950158933457,19.10449538392304,17.696329154504184,17.211604706805957,16.973056968747144,16.840950149479852,22.67699630012818,0.753396710207068,True,,,True,0.0,,,,,,,,,,,,,,0.7232721857570397,27.96168723730852,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,9.0,-130753.98187770117,156237.26108869337,79,42.46923258407773,-31.19143538155744,False
26,W42690428307499,42.1646326720177,-31.1581877526607,3.14395474310252,0.0223725065588951,9.372819795204508,18.49975340253807,16.996870534247815,16.38282739637213,16.089297017987136,15.818123619053976,20.113083507052604,0.5916481733658461,True,,,True,0.0,,,,,,,,,,,,,,0.9075735162606796,12.57581897241008,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,5.0,-68839.58012556614,7513.964130662899,79,42.46923258407773,-31.19143538155744,False
27,W43700907202464,42.3994969227535,-30.5778825308348,9.95522872673427,0.0042395996861159,9.125188022413402,14.925193886204486,13.537471100594436,13.031300280967896,12.806040243810465,12.671615385925808,19.264431175840016,0.0495296582802009,True,,,True,0.0,,,,,,,,,,,,,,0.7314308567839714,39.82091490693708,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,9.0,-15760.259459276114,138662.9442633169,79,42.46923258407773,-31.19143538155744,False
28,W42690323907324,42.2663524210613,-31.1725229450544,12.6060635304685,0.0197603367269039,10.639500382346853,15.560999419014962,13.847310376909917,13.165639274301242,12.837359442746171,12.540092221753214,19.911411413528256,0.394698144479118,True,,,True,0.0,,,,,,,,,,,,,,1.0099509341637436,50.424254121874,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-45850.9168417134,4274.210649687085,79,42.46923258407773,-31.19143538155744,False
29,W42690413704555,42.1795747309572,-31.403487454205,5.27434558849582,0.034800000488758,8.74962943891275,19.360672197756976,18.20933967477489,17.888785779556777,17.768279191417662,17.62480340913304,22.742503373618614,0.729811379814925,True,,,True,0.0,,,,,,,,,,,,,,0.4410604833572265,21.09738235398328,,,False,True,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-65462.67480523994,-47923.76841834833,79,42.46923258407773,-31.19143538155744,False
30,W42690188408291,42.3978933288526,-31.0915017747017,4.94098249387303,0.0208999998867511,9.950601866220907,17.82301836173132,15.891371977236206,15.136130926120297,14.808643806160308,14.529556225244072,19.848072183690277,0.380283696344329,True,,,True,0.0,,,,,,,,,,,,,,1.0827281710758978,19.76392997549212,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-16122.671680880174,22584.995149397022,79,42.46923258407773,-31.19143538155744,False
31,W43680218809081,42.8725090609315,-31.9257510384026,3.40860008438002,0.0205000005662441,8.406531017396558,20.124080804588097,18.675747743979816,18.23227457624228,17.96657206918439,17.846237735986776,22.138029510037004,0.55827717282636,True,,,True,0.0,,,,,,,,,,,,,,0.709175674795425,13.63440033752008,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,9.0,91140.48376895177,-165955.33844700578,79,42.46923258407773,-31.19143538155744,False
32,W42690080305707,42.5044538947036,-31.3063759735468,6.71217995698401,0.0221430249512195,8.533014755286205,19.235343097897392,17.969611215187456,17.589700057779073,17.46106828494164,17.357149717619677,22.966892697686045,0.3132550661526539,True,,,True,0.0,,,,,,,,,,,,,,0.5085429302458166,26.84871982793604,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,7960.01620144699,-25976.573789595262,79,42.46923258407773,-31.19143538155744,False
33,W42690368910765,42.2215512098865,-30.8858973058119,6.43107259123907,0.0217000003904104,8.592634268173885,19.13748645833888,17.795525637707946,17.42479067799183,17.280349214142042,17.180843836859975,22.709082418445416,0.137150986177075,True,,,True,0.0,,,,,,,,,,,,,,0.5151764235659044,25.72429036495628,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-55975.99056721819,69051.60511849243,79,42.46923258407773,-31.19143538155744,False
34,W43690886510095,42.9188466283877,-30.9420004486801,3.80739771029181,0.0215000007301569,8.347011393524685,19.976419335454757,18.657152201078276,18.204819707399217,18.045372688117645,17.899780041015994,22.350835611088858,0.294143511603948,True,,,True,0.0,,,,,,,,,,,,,,0.6117795129606307,15.22959084116724,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,78,2,9.0,101612.77401405269,56372.29483027858,79,42.46923258407773,-31.19143538155744,False
35,W42690112609928,42.4708286148528,-30.9547888135271,7.67368381009034,0.0234623178839683,9.240984502283316,18.094957833198,16.763153284330357,16.299167130096944,16.095919405430827,15.948652964517622,21.967061313663933,0.62879955701237,True,,,True,0.0,,,,,,,,,,,,,,0.6672338788995305,30.69473524036136,,,False,False,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,360.7029551655643,53482.12437485714,79,42.46923258407773,-31.19143538155744,False
36,W43680446113959,42.6482388979262,-31.519905138432,8.48308989523165,0.0233999993652105,10.43634735496457,15.839331993917371,14.311693850064424,13.726705022032329,13.448409663112052,13.233678764115366,19.61235004997261,0.154514981421011,True,,,True,0.0,,,,,,,,,,,,,,0.863284186952372,33.9323595809266,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,40455.42692975384,-74234.16505365087,79,42.46923258407773,-31.19143538155744,False
