,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel,MagnetX_noDC,MagnetY_noDC,tile_number,tile_centre_RA,tile_centre_DEC,Filler_Galaxy
0,W176970578406177,175.601476778998,-2.56862094393812,1.82755792410758,0.0434050299227237,9.624753482712697,19.05470311485796,17.745759941319115,17.15519882608131,16.850514978139152,16.635674841126015,19.707429261469905,0.2169704443500849,True,,,True,0.0,,,,,,,,,,,,,,0.8952449631799624,7.31023169643032,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-69858.86516672866,-66218.8665562446,95,175.91058680185964,-2.2756171096184534,False
1,W177970443805626,176.713762770954,-2.61452334299248,5.95897184568793,0.0454000011086463,9.735517882712587,18.369664182915503,17.120838764559092,16.635311591388913,16.386134047185415,16.287527528771164,21.754042940732106,0.37207749997828,True,,,True,0.0,,,,,,,,,,,,,,0.7347047173736776,23.83588738275172,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,181517.76901532413,-76592.80874252999,95,175.91058680185964,-2.2756171096184534,False
2,W177971013106956,176.238877538241,-2.50368236504767,5.02907018460429,0.0465148389339447,10.755627794524642,17.359552417530704,15.702427227616496,14.962725190851394,14.576146398145614,14.310590565799814,19.71303835549715,0.4803955833081059,True,,,True,0.0,,,,,,,,,,,,,,1.1262808294708826,20.11628073841716,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,74193.70642219104,-51542.747727002905,95,175.91058680185964,-2.2756171096184534,False
3,W176970839509116,175.383696740541,-2.32370410760944,3.23415749127293,0.048700001090765,10.874541161498747,17.56755562643589,15.62921314592039,14.82328062878812,14.456772242603767,14.16680844322713,18.614961133467208,0.388653669744795,True,,,True,0.0,,,,,,,,,,,,,,1.1724409033166232,12.93662996509172,,,True,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,-119077.15385800919,-10867.66154596292,95,175.91058680185964,-2.2756171096184534,False
4,W177970760304101,176.449734591716,-2.74162251419729,4.98785836663422,0.0577800013124942,9.734953148646849,19.726101287707436,18.158833680756544,17.54598057583391,17.232494594771374,17.046245509765775,22.27842582215658,0.74819206731374,True,,,True,0.0,,,,,,,,,,,,,,0.9263390859851696,19.95143346653688,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,121847.40050754011,-105317.22143481708,95,175.91058680185964,-2.2756171096184534,False
5,W176980336804092,176.302842826264,-1.74234923043184,4.77398788909423,0.0276999995112419,8.214701896581236,20.195437696644387,18.90939524782073,18.658113607186134,18.522354708527885,18.446443928923365,23.29539485357572,0.337145834959963,True,,,True,0.0,,,,,,,,,,,,,,0.387040539292844,19.09595155637692,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,88649.86151538556,120518.54069617463,95,175.91058680185964,-2.2756171096184534,False
6,W177970985002622,176.262250702894,-2.86484544449477,3.84004662733476,0.0768999978899955,10.90635584009723,18.66575907737778,16.755856421081383,15.87498589334044,15.491223853845806,15.217646915087949,20.039543063933284,0.4035979913073479,True,,,True,0.0,,,,,,,,,,,,,,1.2646325672355765,15.36018650933904,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,79476.04163376462,-133165.6036820476,95,175.91058680185964,-2.2756171096184534,False
7,W176970485408671,175.679025837724,-2.36078042935527,5.43779036812407,0.0241406597197055,9.37464551820675,16.729996247808828,15.710609293257642,15.448991604771797,15.325022683613405,15.199055180971005,20.368978592097193,0.405062254680421,True,,,True,0.0,,,,,,,,,,,,,,0.3855866096442391,21.75116147249628,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,5.0,-52332.777894654384,-19246.91026052057,95,175.91058680185964,-2.2756171096184534,False
8,W177971022405670,176.231098339664,-2.61084614747438,3.88148622520876,0.0469000004231929,10.345117326742963,18.131860535308356,16.53647229986518,15.824221907331683,15.486158933724598,15.25229876157265,20.01208683535984,0.375876961767661,True,,,True,0.0,,,,,,,,,,,,,,1.0503133661405837,15.52594490083504,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,1,9.0,72435.60754378313,-75761.76255543936,95,175.91058680185964,-2.2756171096184534,False
9,W176980920005984,175.816639029585,-1.5847001607726,6.01578849291373,0.0441999994218349,9.344772783345816,18.68404995136077,17.645288758020232,17.249442774007584,17.05393562582558,16.919603963351534,22.388780248934115,0.666163741231111,True,,,True,0.0,,,,,,,,,,,,,,0.5913531321946515,24.06315397165492,,,False,True,8,3,1,0.0,0.0,0.0,0.0,0.0,0.0,False,-999,3,5.0,-21232.196534069997,156147.2304391629,95,175.91058680185964,-2.2756171096184534,False
