,ID,RA,DEC,Re,z,Mstar,u_mag,g_mag,r_mag,i_mag,z_mag,GAL_MU_E_R,Ellipticity_r,RS_member,r_on_rtwo,ClusterName,ClusterMember,bad_class,GAL_MU_E_U,GAL_MU_0_U,GAL_MU_E_G,GAL_MU_0_G,GAL_MU_0_R,GAL_MU_E_I,GAL_MU_0_I,GAL_MU_E_Z,GAL_MU_0_Z,SersicIndex_r,MassHIpred,WALLABYflag,Dingoflag,g_m_i,IFU_diam_2Re,GAL_MU_R_at_2Re,GAL_MU_R_at_3Re,MW_analogue,EO_wind_galaxy,priority,N_observations_to_complete,type,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,pmRA,pmDEC,COMPLETED,Tile_number,remaining_observations,isel
0,W211990011800801,211.573589480003,-1.01656006808387,3.14636467809182,0.0546999983489513,9.63269991423734,19.18569624208758,17.88621707595862,17.363473735198696,17.109808512258965,17.037996775470045,21.09539370656529,0.1298307857627489,True,,,True,0.0,,,,,,,,,,,,,,0.776408563699654,12.58545871236728,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,249,0,4.0
2,W211980057710336,211.535391561507,-1.22199051130958,3.06161815414176,0.0419000014662742,8.619275882573067,20.257206035172167,19.118031494922583,18.814867472791967,18.60911043941756,18.65134996401932,22.487497276589743,0.0661228000658159,True,,,True,0.0,,,,,,,,,,,,,,0.5089210555050236,12.24647261656704,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,249,0,8.0
6,W212990541911476,212.131788966212,-0.127046598070494,6.98014932017779,0.02449999935925,9.6881343094511,16.185377701448186,15.22095092667403,14.886547086702816,14.74056569803149,14.674372050303408,20.3487453344448,0.107103428888153,True,,,True,0.0,,,,,,,,,,,,,,0.4803852286425396,27.92059728071116,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,5.0
10,W212990794504407,211.921286127953,-0.716123299225245,5.00831574937995,0.0249000005424022,9.130686762696389,18.307142383975723,17.103337539737588,16.684026154532326,16.458884564871425,16.34293782194503,21.425359342122437,0.706251494740779,True,,,True,0.0,,,,,,,,,,,,,,0.6444529748661623,20.0332629975198,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,1.0
13,W212990491910963,212.173455684479,-0.169794544440533,5.55729776087538,0.0524999983608722,9.604030373528024,18.66415319430443,17.51568411327923,17.093587148845018,16.868309471590738,16.789902688176475,22.060780165452595,0.643022377196136,True,,,True,0.0,,,,,,,,,,,,,,0.6473746416884936,22.22919104350152,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,219,0,4.0
14,W212990671010671,212.024208125884,-0.194127888421045,5.85202154524612,0.0533999986946582,9.755560828124931,19.036747712947985,17.664732274736423,17.130864634604407,16.838886283120754,16.70630250747415,22.21026889827825,0.6994414128091411,True,,,True,0.0,,,,,,,,,,,,,,0.8258459916156689,23.40808618098448,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,1.0
16,W212990175900738,212.436834558453,-1.02183087536204,2.00793911045168,0.0412000007927417,8.664866911466762,20.60055191703376,19.24044394685327,18.85526862219622,18.63295266107009,18.715776493575852,21.611895998697396,0.0509405373981589,True,,,True,0.0,,,,,,,,,,,,,,0.6074912857831798,8.03175644180672,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,1.0
19,W212980580703032,212.099507366795,-1.83070190180826,2.45860564351316,0.0292700007557868,8.532861363403278,20.3579516322429,19.109428682040996,18.641806381481164,18.405160636433372,18.27765215257218,21.83812543407383,0.402095354574684,True,,,True,0.0,,,,,,,,,,,,,,0.7042680456076233,9.83442257405264,,,False,False,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,237,0,8.0
21,W214000973000817,212.772552051622,-0.0152776540648143,3.98228173728952,0.0292399991303682,8.26157852766381,20.022349784874784,19.187368382361228,18.80589600293713,18.699341884232616,18.68350830022944,23.049430595251273,0.2161787918830719,True,,,True,0.0,,,,,,,,,,,,,,0.4880264981286117,15.92912694915808,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,1.0
22,W214000680000759,213.01670764548,-0.0201107123374205,3.24830747890844,0.0956000015139579,10.936972417087157,19.22774780032128,17.24343162363276,16.35132239170997,15.935534992919957,15.83689491811263,20.152482733669196,0.2223082490208989,True,,,True,0.0,,,,,,,,,,,,,,1.3078966307128042,12.99322991563376,,,False,False,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,True,188,0,1.0
